words,amount
nodes production,391
rogue access,391
active scan,390
alert triggered,390
malware alert,390
triggered active,390
account misconfiguration,387
cloud storage,387
due account,387
exposed publicly,387
publicly due,387
storage exposed,387
application server,386
email identified,386
flagged workflow,386
hijack application,386
identified security,386
root server,386
security team,386
session hijack,386
trigger scheduling,386
unauthorized session,386
workflow trigger,386
detected due,385
due outdated,385
errors detected,385
high errors,385
outdated system,385
system protocols,385
cases staging,383
caused request,383
changes caused,383
clustered metrics,383
confidence cases,383
configuration detected,383
database schema,383
delays query,383
detected main,383
dns query,383
failure incorrect,383
flagged confidence,383
flagged delays,383
incorrect configuration,383
main server,383
metrics snapshot,383
preventative trial,383
priority upticks,383
query failure,383
query timeouts,383
request failures,383
schema changes,383
staging priority,383
trial flagged,383
unexpected database,383
upticks clustered,383
behavior flagged,382
ddos mitigation,382
detection flagged,382
email within,382
external activity,382
flagged phishing,382
flagged user,382
heavy external,382
login analytics,382
mitigation triggered,382
response actions,382
spam detection,382
suspicious behavior,382
triggered heavy,382
user login,382
within response,382
access validation,381
connection failures,381
detected external,381
external clients,381
failures detected,381
ftp connection,381
lockout flagged,381
privileged access,381
repeated ftp,381
unexpected lockout,381
access termination,380
due suspicious,380
remote access,380
session triggers,380
suspicious session,380
termination due,380
encryption process,377
failed encryption,377
process unable,377
secure sensitive,377
sensitive data,377
unable secure,377
alarm raised,376
critical alarm,376
noncompliance production,376
raised sla,376
server tickets,376
sla noncompliance,376
causing mainframe,375
cluster pipeline,375
data requests,375
data threshold,375
details cluster,375
exceeded causing,375
faults matrix,375
flag upstream,375
high memory,375
inline faults,375
mainframe overload,375
matrix overview,375
memory data,375
overload flag,375
overloaded server,375
pipeline inline,375
requests overloaded,375
server processing,375
threshold exceeded,375
upstream details,375
aggregations indicating,374
configuration checks,374
errors logged,374
fallback overload,374
flag uncovered,374
flagged aggregations,374
high level,374
indicating fallback,374
logged cloud,374
metric stages,374
monitoring stages,374
multiplexer configuration,374
overload metric,374
request errors,374
stages flagged,374
stages high,374
synchronization monitoring,374
traffic multiplexer,374
tunnel flag,374
uncovered traffic,374
vpn tunnel,374
critical patch,371
key systems,371
missing scheduled,371
scheduled updates,371
updates key,371
connectivity notice,369
device responding,369
disconnected device,369
endpoint disconnected,369
identified increasing,369
impacted change,369
increasing peak,369
issued multi,369
monitoring server,369
morning hours,369
multi site,369
notice issued,369
peak trends,369
responding monitoring,369
site impacted,369
support ticket,369
system wide,369
ticket volumes,369
trends morning,369
volumes identified,369
wide connectivity,369
api monitoring,367
audit checks,367
configuration process,367
flagged misaligned,367
misaligned audit,367
observed api,367
performance slowdowns,367
process flagged,367
slowdowns observed,367
system configuration,367
access denied,366
activity detected,366
analytics server,366
attempt flagged,366
authentication failure,366
blacklisted ips,366
critical assets,366
critical security,366
denied critical,366
detected immediate,366
detected privileged,366
employee machine,366
exhaustion detected,366
factor authentication,366
failed packet,366
failure privileged,366
file permissions,366
flagged blacklisted,366
flagged ongoing,366
identified analytics,366
immediate remediation,366
ips detected,366
keylogger activity,366
login attempt,366
memory exhaustion,366
misconfigured access,366
monitoring interfaces,366
monitoring operations,366
multi factor,366
ongoing monitoring,366
packet transmission,366
permissions misconfigured,366
privileged accounts,366
privileged employee,366
remediation required,366
resource spike,366
security incident,366
server logs,366
spike identified,366
system resource,366
transmission monitoring,366
due saml,362
flagged inaccessible,362
inaccessible due,362
jira system,362
saml failure,362
system flagged,362
allowed unauthorized,361
firewall misconfiguration,361
misconfiguration allowed,361
admin data,357
backup corruption,357
corruption issues,357
data processes,357
database response,357
due backup,357
email flagged,357
flagged sensitive,357
matrix heading,357
processes matrix,357
response due,357
sensitive admin,357
sluggish database,357
unencrypted email,357
access open,356
breach unauthorized,356
firewall breach,356
open port,356
dns monitoring,355
edge scanning,355
flagged edge,355
monitoring errors,355
scanning logs,355
activity flagged,353
failure simulation,353
power failure,353
privileged environment,353
red team,353
simulation triggered,353
suspicious activity,353
team activity,353
triggered red,353
interrupted high,346
priority processing,346
reboot interrupted,346
system reboot,346
unscheduled system,346
analysis revision,335
insights prompted,335
kpi analysis,335
prompted resolution,335
resolution sequences,335
revision cases,335
sequences stalled,335
stalled kpi,335
failure reported,333
reported update,333
synchronization failure,333
update processing,333
