Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
SR-0000026,Request VPN access from additional device,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T11:51:26.000000,2025-01-01T13:51:26.000000,2025-01-01T20:51:26.000000,3,Wednesday,2.0,7.0,9.0,0,2025-01
SR-0000027,Request new virtual environment for testing,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:09:47.000000,2025-01-01T15:09:47.000000,2025-01-02T15:09:47.000000,2,Wednesday,6.0,24.0,30.0,0,2025-01
SR-0000028,Request configuration of project-specific tools,Complaint,John Wick,John Wick,Matrix,Service C,New,Medium,Medium,Medium,Medium,2025-01-01T02:26:42.000000,,,3,Wednesday,,,,0,2025-01
SR-0000029,Request access to financial reporting tools,Access,Thor,Thor,Avengers,Service A,New,Medium,Critical,High,Medium,2025-01-01T20:51:54.000000,,,1,Wednesday,,,,0,2025-01
SR-0000030,Request VPN access from additional device,Complaint,Batman,Batman,Matrix,Service C,Closed,Medium,High,High,Medium,2025-01-01T19:36:16.000000,2025-01-01T21:36:16.000000,2025-01-02T19:36:16.000000,4,Wednesday,2.0,22.0,24.0,1,2025-01
SR-0000031,Request configuration of backup for data area,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T01:18:05.000000,2025-01-01T09:18:05.000000,2025-01-01T21:18:05.000000,1,Wednesday,8.0,12.0,20.0,1,2025-01
SR-0000032,Request new virtual environment for testing,Complaint,John Wick,John Wick,Matrix,Service C,New,Medium,Low,Low,Low,2025-01-01T06:45:39.000000,,,5,Wednesday,,,,0,2025-01
SR-0000033,Request creation of shared mailbox,Complaint,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T06:41:47.000000,2025-01-01T09:41:47.000000,2025-01-02T00:41:47.000000,3,Wednesday,3.0,15.0,18.0,0,2025-01
SR-0000034,Request access to business application,Failure,Batman,Batman,Matrix,Service A,New,Medium,Critical,High,High,2025-01-01T10:08:58.000000,,,3,Wednesday,,,,0,2025-01
SR-0000035,Request access to time-management tools,Complaint,Hulk,Hulk,Avengers,Service B,New,High,Medium,Medium,Medium,2025-01-01T22:04:50.000000,,,3,Wednesday,,,,0,2025-01
SR-0000036,Request access to archived information,Software,Hulk,Hulk,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-01-01T16:36:37.000000,2025-01-02T00:36:37.000000,2025-01-02T09:36:37.000000,4,Wednesday,8.0,9.0,17.0,1,2025-01
SR-0000037,Request access to data analysis tools,Failure,Loki,Loki,Avengers,Service B,Closed,Low,High,High,High,2025-01-01T02:21:00.000000,2025-01-01T08:21:00.000000,2025-01-02T07:21:00.000000,2,Wednesday,6.0,23.0,29.0,1,2025-01
SR-0000038,Request password assistance,Access,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T05:21:00.000000,2025-01-01T13:21:00.000000,2025-01-01T16:21:00.000000,5,Wednesday,8.0,3.0,11.0,0,2025-01
SR-0000039,Request enrolment of device into management system,Facilities,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,High,High,Low,2025-01-01T12:46:46.000000,2025-01-01T16:46:46.000000,2025-01-02T03:46:46.000000,4,Wednesday,4.0,11.0,15.0,1,2025-01
SR-0000040,Request access to incident tracking dashboard,Failure,Neo,Neo,Matrix,Service A,Closed,Medium,Medium,Low,Low,2025-01-01T23:17:30.000000,2025-01-02T04:17:30.000000,2025-01-03T08:17:30.000000,2,Wednesday,5.0,28.0,33.0,1,2025-01
SR-0000041,Request reactivation of existing user account,Data,Captain America,Captain America,Avengers,Service B,New,Low,Critical,High,High,2025-01-01T13:11:17.000000,,,3,Wednesday,,,,0,2025-01
SR-0000042,Request creation of a technical service account,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,On Hold,Low,Critical,High,High,2025-01-01T10:24:45.000000,,,3,Wednesday,,,,0,2025-01
SR-0000043,Request access to a shared resource,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T00:36:08.000000,2025-01-01T02:36:08.000000,2025-01-01T11:36:08.000000,5,Wednesday,2.0,9.0,11.0,1,2025-01
SR-0000044,Request new audio equipment for calls,Hardware,Loki,Loki,Avengers,Service A,New,Medium,Low,Low,Low,2025-01-01T19:05:58.000000,,,0,Wednesday,,,,0,2025-01
SR-0000045,Request creation of a group communication list,Facilities,Thor,Thor,Avengers,Service C,Closed,High,High,Medium,High,2025-01-01T23:13:00.000000,2025-01-02T07:13:00.000000,2025-01-02T15:13:00.000000,4,Wednesday,8.0,8.0,16.0,0,2025-01
SR-0000046,Request setup of network storage connection,Software,Batman,Batman,Matrix,Service B,On Hold,Medium,Medium,Medium,Medium,2025-01-01T20:20:52.000000,,,3,Wednesday,,,,0,2025-01
SR-0000047,Request setup of shared document library,Data,Loki,Loki,Avengers,Service A,Closed,High,High,Medium,Low,2025-01-01T07:20:32.000000,2025-01-01T09:20:32.000000,2025-01-02T06:20:32.000000,2,Wednesday,2.0,21.0,23.0,1,2025-01
SR-0000048,Request user profile migration to new device,Failure,Iron Man,Iron Man,Avengers,Service C,In Progress,Low,High,High,High,2025-01-01T01:45:51.000000,2025-01-01T03:45:51.000000,,3,Wednesday,2.0,,,0,2025-01
SR-0000049,Request access to internal help and knowledge portal,Software,Neo,Neo,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-01T22:46:34.000000,2025-01-02T02:46:34.000000,2025-01-03T00:46:34.000000,3,Wednesday,4.0,22.0,26.0,0,2025-01
SR-0000050,Request removal of unused virtual environment,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,On Hold,Medium,High,Medium,Medium,2025-01-01T13:02:26.000000,,,5,Wednesday,,,,0,2025-01
SR-0000051,Request activation of network connection at workspace,Software,Thor,Thor,Avengers,Service B,Closed,Medium,High,High,High,2025-01-01T00:10:49.000000,2025-01-01T08:10:49.000000,2025-01-01T18:10:49.000000,2,Wednesday,8.0,10.0,18.0,1,2025-01
SR-0000052,Request update of user contact information,Failure,Loki,Loki,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-01T15:47:43.000000,2025-01-01T18:47:43.000000,2025-01-03T11:47:43.000000,3,Wednesday,3.0,41.0,44.0,0,2025-01
SR-0000053,Request remote access enablement,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-01T19:49:01.000000,2025-01-02T03:49:01.000000,2025-01-02T06:49:01.000000,2,Wednesday,8.0,3.0,11.0,0,2025-01
SR-0000054,Request access to incident tracking dashboard,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,Medium,High,2025-01-01T04:40:58.000000,2025-01-01T12:40:58.000000,2025-01-01T15:40:58.000000,0,Wednesday,8.0,3.0,11.0,0,2025-01
SR-0000055,Request upgrade to latest approved software version,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-01T04:20:23.000000,2025-01-01T11:20:23.000000,2025-01-03T22:20:23.000000,5,Wednesday,7.0,59.0,66.0,1,2025-01
SR-0000056,Request shared calendar setup for team,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-01-01T10:04:09.000000,2025-01-01T18:04:09.000000,2025-01-01T21:04:09.000000,2,Wednesday,8.0,3.0,11.0,0,2025-01
SR-0000057,Request activation of additional login security,Access,Loki,Loki,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T23:00:06.000000,2025-01-02T05:00:06.000000,2025-01-05T04:00:06.000000,1,Wednesday,6.0,71.0,77.0,1,2025-01
SR-0000058,Request access to business application,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T19:31:27.000000,2025-01-02T03:31:27.000000,2025-01-02T11:31:27.000000,3,Wednesday,8.0,8.0,16.0,1,2025-01
SR-0000059,Request shared calendar setup for team,Failure,Loki,Loki,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:02:52.000000,2025-01-01T11:02:52.000000,2025-01-02T22:02:52.000000,3,Wednesday,2.0,35.0,37.0,1,2025-01
SR-0000060,Request activation of additional login security,Data,John Cena,John Cena,Matrix,Service A,In Progress,Low,Medium,Medium,Medium,2025-01-01T07:44:58.000000,2025-01-01T11:44:58.000000,,3,Wednesday,4.0,,,0,2025-01
SR-0000061,Request shared calendar setup for team,Software,Captain America,Captain America,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T21:16:17.000000,2025-01-01T23:16:17.000000,2025-01-03T14:16:17.000000,4,Wednesday,2.0,39.0,41.0,0,2025-01
SR-0000062,Request configuration of project-specific tools,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T20:54:01.000000,2025-01-02T01:54:01.000000,2025-01-03T01:54:01.000000,3,Wednesday,5.0,24.0,29.0,0,2025-01
SR-0000063,Request new mobile device setup,Data,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,High,2025-01-01T15:09:44.000000,2025-01-01T20:09:44.000000,2025-01-02T03:09:44.000000,0,Wednesday,5.0,7.0,12.0,0,2025-01
SR-0000064,Request external user account creation,Software,Captain America,Captain America,Avengers,Service A,Closed,High,Medium,Low,Low,2025-01-01T00:17:15.000000,2025-01-01T06:17:15.000000,2025-01-02T04:17:15.000000,2,Wednesday,6.0,22.0,28.0,0,2025-01
SR-0000065,Request password assistance,Network,Hulk,Hulk,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-01T00:51:43.000000,2025-01-01T03:51:43.000000,2025-01-02T22:51:43.000000,4,Wednesday,3.0,43.0,46.0,0,2025-01
SR-0000066,Request configuration change for application settings,Access,Hulk,Hulk,Avengers,Service B,Closed,Medium,Medium,Low,Medium,2025-01-01T01:30:05.000000,2025-01-01T03:30:05.000000,2025-01-02T12:30:05.000000,4,Wednesday,2.0,33.0,35.0,1,2025-01
SR-0000067,Request access to data analysis tools,Facilities,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,Medium,High,2025-01-01T11:45:39.000000,2025-01-01T15:45:39.000000,2025-01-02T03:45:39.000000,3,Wednesday,4.0,12.0,16.0,1,2025-01
SR-0000068,Request upgrade to extended user profile,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T19:46:34.000000,2025-01-02T02:46:34.000000,2025-01-03T08:46:34.000000,1,Wednesday,7.0,30.0,37.0,1,2025-01
SR-0000069,Request creation of shared collaboration space,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-01T18:26:22.000000,2025-01-01T20:26:22.000000,2025-01-02T08:26:22.000000,2,Wednesday,2.0,12.0,14.0,1,2025-01
SR-0000070,Request temporary elevated permissions on device,Hardware,John Wick,John Wick,Matrix,Service C,Closed,Medium,High,Medium,High,2025-01-01T14:38:32.000000,2025-01-01T19:38:32.000000,2025-01-02T15:38:32.000000,2,Wednesday,5.0,20.0,25.0,1,2025-01
SR-0000071,Request removal from email group,Access,Loki,Loki,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-01-01T14:19:01.000000,2025-01-01T16:19:01.000000,2025-01-03T00:19:01.000000,0,Wednesday,2.0,32.0,34.0,1,2025-01
SR-0000072,Request update of security configuration,Access,Loki,Loki,Avengers,Service C,New,Low,Medium,Medium,Medium,2025-01-01T20:07:56.000000,,,3,Wednesday,,,,0,2025-01
SR-0000073,Request update to data retention settings,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-01-01T12:11:18.000000,2025-01-01T15:11:18.000000,2025-01-03T16:11:18.000000,4,Wednesday,3.0,49.0,52.0,1,2025-01
SR-0000074,Request new virtual environment for testing,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T23:59:41.000000,2025-01-02T06:59:41.000000,2025-01-02T21:59:41.000000,5,Wednesday,7.0,15.0,22.0,0,2025-01
SR-0000075,Request password assistance,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,High,Medium,High,2025-01-01T12:39:11.000000,2025-01-01T19:39:11.000000,2025-01-02T17:39:11.000000,1,Wednesday,7.0,22.0,29.0,1,2025-01
SR-0000076,Request creation of a user account,Hardware,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-01-01T13:44:09.000000,2025-01-01T17:44:09.000000,2025-01-02T14:44:09.000000,0,Wednesday,4.0,21.0,25.0,0,2025-01
SR-0000077,Request change of access rights on shared storage,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Critical,High,High,2025-01-01T23:28:19.000000,2025-01-02T01:28:19.000000,2025-01-02T12:28:19.000000,4,Wednesday,2.0,11.0,13.0,1,2025-01
SR-0000078,Request new audio equipment for calls,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-01-01T03:29:12.000000,2025-01-01T07:29:12.000000,2025-01-01T10:29:12.000000,5,Wednesday,4.0,3.0,7.0,0,2025-01
SR-0000079,Request website allowance for business use,Network,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T10:38:10.000000,2025-01-01T17:38:10.000000,2025-01-01T22:38:10.000000,0,Wednesday,7.0,5.0,12.0,1,2025-01
SR-0000080,Request access to development resources,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:28:35.000000,2025-01-01T17:28:35.000000,2025-01-02T19:28:35.000000,1,Wednesday,8.0,26.0,34.0,1,2025-01
SR-0000081,Request creation of shared mailbox,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:04:00.000000,2025-01-01T11:04:00.000000,2025-01-02T22:04:00.000000,4,Wednesday,2.0,35.0,37.0,1,2025-01
SR-0000082,Request VPN access from additional device,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-01T18:33:57.000000,2025-01-01T21:33:57.000000,2025-01-02T01:33:57.000000,4,Wednesday,3.0,4.0,7.0,0,2025-01
SR-0000083,Request remote access to internal application,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service C,New,Low,High,Medium,Medium,2025-01-01T08:06:24.000000,,,0,Wednesday,,,,0,2025-01
SR-0000084,Request activation of additional login security,Software,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T12:52:06.000000,2025-01-01T17:52:06.000000,2025-01-02T04:52:06.000000,4,Wednesday,5.0,11.0,16.0,1,2025-01
SR-0000085,Request upgrade of workstation performance,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,New,Low,Medium,Medium,Medium,2025-01-01T00:57:27.000000,,,4,Wednesday,,,,0,2025-01
SR-0000086,Request update of security configuration,Software,Hulk,Hulk,Avengers,Service C,New,Medium,Medium,Medium,Medium,2025-01-01T02:38:57.000000,,,4,Wednesday,,,,0,2025-01
SR-0000087,Request creation of a technical service account,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Low,Low,2025-01-01T15:55:07.000000,2025-01-01T17:55:07.000000,2025-01-02T16:55:07.000000,2,Wednesday,2.0,23.0,25.0,0,2025-01
SR-0000088,Request activation of network connection at workspace,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T09:43:01.000000,2025-01-01T11:43:01.000000,2025-01-02T11:43:01.000000,2,Wednesday,2.0,24.0,26.0,0,2025-01
SR-0000089,Request access to archived information,Data,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T03:12:14.000000,2025-01-01T07:12:14.000000,2025-01-02T03:12:14.000000,2,Wednesday,4.0,20.0,24.0,0,2025-01
SR-0000090,Request access to development resources,Hardware,Thor,Thor,Avengers,Service C,Closed,Low,High,High,High,2025-01-01T11:09:59.000000,2025-01-01T16:09:59.000000,2025-01-02T01:09:59.000000,0,Wednesday,5.0,9.0,14.0,1,2025-01
SR-0000091,Request user profile migration to new device,Facilities,John Cena,John Cena,Matrix,Service A,Closed,Low,High,High,Low,2025-01-01T21:34:16.000000,2025-01-02T03:34:16.000000,2025-01-03T00:34:16.000000,2,Wednesday,6.0,21.0,27.0,1,2025-01
SR-0000092,Request adjustment of access permissions,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-01T23:32:32.000000,2025-01-02T05:32:32.000000,2025-01-02T07:32:32.000000,1,Wednesday,6.0,2.0,8.0,0,2025-01
SR-0000093,Request configuration update for communication tools,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Low,Low,Low,2025-01-01T14:44:01.000000,2025-01-01T16:44:01.000000,2025-01-02T17:44:01.000000,2,Wednesday,2.0,25.0,27.0,0,2025-01
SR-0000094,Request access to internal information site,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T10:36:56.000000,2025-01-01T17:36:56.000000,2025-01-03T02:36:56.000000,1,Wednesday,7.0,33.0,40.0,1,2025-01
SR-0000095,Request configuration change for application settings,Access,Loki,Loki,Avengers,Service B,New,Low,Medium,Low,Medium,2025-01-02T16:38:59.000000,,,2,Thursday,,,,0,2025-01
SR-0000096,Request configuration of project-specific tools,Software,Iron Man,Iron Man,Avengers,Service B,New,High,High,High,High,2025-01-02T02:57:16.000000,,,1,Thursday,,,,0,2025-01
SR-0000097,Request access to document management tools,Network,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-02T21:41:57.000000,2025-01-03T02:41:57.000000,2025-01-03T11:41:57.000000,3,Thursday,5.0,9.0,14.0,1,2025-01
SR-0000098,Request docking station setup,Software,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,Medium,2025-01-02T11:18:09.000000,2025-01-02T15:18:09.000000,2025-01-02T16:18:09.000000,2,Thursday,4.0,1.0,5.0,0,2025-01
SR-0000099,Request access to incident tracking dashboard,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,Low,2025-01-02T13:13:42.000000,2025-01-02T20:13:42.000000,2025-01-03T14:13:42.000000,5,Thursday,7.0,18.0,25.0,1,2025-01
SR-0000100,Request additional display equipment,Software,Captain America,Captain America,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-01-02T17:01:41.000000,2025-01-02T20:01:41.000000,2025-01-03T14:01:41.000000,2,Thursday,3.0,18.0,21.0,0,2025-01
SR-0000101,Request enrolment of device into management system,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,High,Medium,High,2025-01-02T06:44:53.000000,2025-01-02T11:44:53.000000,2025-01-03T10:44:53.000000,1,Thursday,5.0,23.0,28.0,1,2025-01
SR-0000102,Request new workstation setup at workplace,Access,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-02T02:30:59.000000,2025-01-02T06:30:59.000000,2025-01-02T13:30:59.000000,0,Thursday,4.0,7.0,11.0,1,2025-01
SR-0000103,Request addition to email group,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,New,Low,High,High,High,2025-01-02T06:05:31.000000,,,2,Thursday,,,,0,2025-01
SR-0000104,Request change of print settings,Network,Batman,Batman,Matrix,Service B,Closed,High,Critical,High,High,2025-01-02T05:13:45.000000,2025-01-02T07:13:45.000000,2025-01-02T09:13:45.000000,3,Thursday,2.0,2.0,4.0,0,2025-01
SR-0000105,Request setup of email on user device,Facilities,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-01-02T22:25:38.000000,2025-01-03T03:25:38.000000,2025-01-04T12:25:38.000000,5,Thursday,5.0,33.0,38.0,1,2025-01
SR-0000106,Request setup of shared document library,Network,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,High,2025-01-02T07:18:02.000000,2025-01-02T13:18:02.000000,2025-01-03T02:18:02.000000,4,Thursday,6.0,13.0,19.0,1,2025-01
SR-0000107,Request setup of network storage connection,Complaint,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-02T02:56:13.000000,2025-01-02T07:56:13.000000,2025-01-02T16:56:13.000000,5,Thursday,5.0,9.0,14.0,1,2025-01
SR-0000108,Request additional display equipment,Software,Loki,Loki,Avengers,Service C,Closed,Low,High,Medium,Medium,2025-01-02T16:57:58.000000,2025-01-02T20:57:58.000000,2025-01-03T02:57:58.000000,0,Thursday,4.0,6.0,10.0,0,2025-01
SR-0000109,Request reactivation of existing user account,Access,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-02T04:19:51.000000,2025-01-02T06:19:51.000000,2025-01-03T13:19:51.000000,3,Thursday,2.0,31.0,33.0,1,2025-01
SR-0000110,Request setup of shared document library,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-02T05:21:21.000000,2025-01-02T07:21:21.000000,2025-01-02T19:21:21.000000,2,Thursday,2.0,12.0,14.0,0,2025-01
