Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CHG-0000012,Data import completed,Hardware,Shang Chi,Shang Chi,Avengers II,Service D,Medium,High,Medium,Closed,Low,2025-01-04T22:11:53.000000,Saturday,2025-01-05T02:11:53.000000,2025-01-06T13:11:53.000000,3,4.0,35.0,39.0,0
CHG-0000013,User group membership changed,Hardware,Captain America,Captain America,Avengers,Service C,High,Medium,High,Closed,Medium,2025-01-04T11:50:54.000000,Saturday,2025-01-04T13:50:54.000000,2025-01-05T04:50:54.000000,3,2.0,15.0,17.0,0
CHG-0000014,Device configuration updated,Access,Shang Chi,Shang Chi,Avengers II,Service A,High,Medium,Low,Closed,Medium,2025-01-05T21:14:41.000000,Sunday,2025-01-06T00:14:41.000000,2025-01-06T22:14:41.000000,2,3.0,22.0,25.0,0
CHG-0000015,Security settings updated,Data,Captain America,Captain America,Avengers,Service A,Low,High,Medium,Closed,High,2025-01-05T01:21:21.000000,Sunday,2025-01-05T08:21:21.000000,2025-01-06T14:21:21.000000,5,7.0,30.0,37.0,1
CHG-0000016,Database maintenance completed,Failure,Loki,Loki,Avengers,Service D,Low,Medium,High,Closed,Medium,2025-01-05T02:22:58.000000,Sunday,2025-01-05T05:22:58.000000,2025-01-06T00:22:58.000000,1,3.0,19.0,22.0,0
CHG-0000017,System role assigned,Facilities,Batman,Batman,Matrix,Service E,Low,Low,Medium,Closed,High,2025-01-05T06:46:05.000000,Sunday,2025-01-05T12:46:05.000000,2025-01-05T23:46:05.000000,1,6.0,11.0,17.0,0
CHG-0000018,User authentication method updated,Access,Jack Sparrow,Jack Sparrow,Matrix,Service E,High,Medium,Low,Closed,Medium,2025-01-05T16:00:32.000000,Sunday,2025-01-05T20:00:32.000000,2025-01-06T18:00:32.000000,2,4.0,22.0,26.0,0
CHG-0000019,System cache cleared,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,High,High,Medium,Closed,Medium,2025-01-06T19:51:11.000000,Monday,2025-01-06T22:51:11.000000,2025-01-07T05:51:11.000000,4,3.0,7.0,10.0,0
CHG-0000020,Device added to network,Network,Neo,Neo,Matrix,Service D,Medium,Low,High,Closed,Low,2025-01-06T10:36:01.000000,Monday,2025-01-06T12:36:01.000000,2025-01-07T16:36:01.000000,5,2.0,28.0,30.0,0
CHG-0000021,System update applied,Network,Jack Sparrow,Jack Sparrow,Matrix,Service E,Low,Medium,Low,Closed,Medium,2025-01-06T20:08:18.000000,Monday,2025-01-07T02:08:18.000000,2025-01-08T13:08:18.000000,1,6.0,35.0,41.0,1
CHG-0000022,Service port changed,Failure,Thor,Thor,Avengers,Service C,High,Low,High,Closed,Medium,2025-01-06T17:19:14.000000,Monday,2025-01-06T19:19:14.000000,2025-01-07T20:19:14.000000,4,2.0,25.0,27.0,1
CHG-0000023,Application deployed,Hardware,Neo,Neo,Matrix,Service A,High,High,Medium,Closed,Critical,2025-01-06T09:52:12.000000,Monday,2025-01-06T15:52:12.000000,2025-01-07T21:52:12.000000,1,6.0,30.0,36.0,1
CHG-0000024,Service integration updated,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,Low,Low,Closed,High,2025-01-07T13:30:06.000000,Tuesday,2025-01-07T15:30:06.000000,2025-01-08T14:30:06.000000,4,2.0,23.0,25.0,1
CHG-0000025,Device added to network,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Low,High,Medium,Closed,High,2025-01-07T06:39:53.000000,Tuesday,2025-01-07T08:39:53.000000,2025-01-07T15:39:53.000000,2,2.0,7.0,9.0,0
CHG-0000026,Service port changed,Facilities,Iron Man,Iron Man,Avengers,Service B,High,Low,High,Closed,Medium,2025-01-07T16:09:05.000000,Tuesday,2025-01-07T23:09:05.000000,2025-01-08T18:09:05.000000,2,7.0,19.0,26.0,0
CHG-0000027,System cache cleared,Complaint,Neo,Neo,Matrix,Service E,Low,Low,High,Closed,High,2025-01-08T19:51:17.000000,Wednesday,2025-01-09T02:51:17.000000,2025-01-09T11:51:17.000000,1,7.0,9.0,16.0,0
CHG-0000028,Service dependency changed,Network,Doctor Strange,Doctor Strange,Avengers II,Service D,High,Medium,Low,Closed,Medium,2025-01-08T05:27:52.000000,Wednesday,2025-01-08T09:27:52.000000,2025-01-09T05:27:52.000000,2,4.0,20.0,24.0,0
CHG-0000029,Device configuration updated,Access,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,Low,High,New,Critical,2025-01-09T04:54:22.000000,Thursday,,,1,0.0,0.0,0.0,0
CHG-0000030,User profile updated,Failure,Batman,Batman,Matrix,Service D,Medium,Low,Medium,Closed,High,2025-01-09T07:10:27.000000,Thursday,2025-01-09T10:10:27.000000,2025-01-09T17:10:27.000000,4,3.0,7.0,10.0,0
CHG-0000031,Data import completed,Network,Thor,Thor,Avengers,Service B,High,High,Medium,Closed,Medium,2025-01-09T11:11:50.000000,Thursday,2025-01-09T19:11:50.000000,2025-01-10T22:11:50.000000,4,8.0,27.0,35.0,1
CHG-0000032,Device access restricted,Facilities,Thor,Thor,Avengers,Service E,High,High,High,Closed,Low,2025-01-09T00:01:09.000000,Thursday,2025-01-09T06:01:09.000000,2025-01-09T19:01:09.000000,1,6.0,13.0,19.0,0
CHG-0000033,Service integration updated,Facilities,Hulk,Hulk,Avengers,Service A,Medium,Medium,High,On Hold,High,2025-01-09T15:49:57.000000,Thursday,,,1,0.0,0.0,0.0,0
CHG-0000034,System log settings updated,Facilities,Shang Chi,Shang Chi,Avengers II,Service E,High,High,Low,In Progress,Medium,2025-01-10T23:12:44.000000,Friday,2025-01-11T07:12:44.000000,,3,8.0,0.0,0.0,0
CHG-0000035,Data retention policy updated,Facilities,Neo,Neo,Matrix,Service A,High,Medium,Low,Closed,High,2025-01-10T02:25:44.000000,Friday,2025-01-10T08:25:44.000000,2025-01-11T18:25:44.000000,3,6.0,34.0,40.0,1
CHG-0000036,Device firmware updated,Complaint,Iron Man,Iron Man,Avengers,Service D,Low,High,Medium,New,Low,2025-01-10T00:25:38.000000,Friday,,,0,0.0,0.0,0.0,0
CHG-0000037,User group membership changed,Failure,Spiderman,Spiderman,Avengers II,Service A,Medium,High,Medium,Closed,High,2025-01-10T06:23:01.000000,Friday,2025-01-10T12:23:01.000000,2025-01-11T14:23:01.000000,1,6.0,26.0,32.0,1
CHG-0000038,Device removed from inventory,Data,Thor,Thor,Avengers,Service B,High,High,Low,Closed,High,2025-01-11T09:32:31.000000,Saturday,2025-01-11T12:32:31.000000,2025-01-11T16:32:31.000000,0,3.0,4.0,7.0,0
CHG-0000039,User profile updated,Failure,Captain America,Captain America,Avengers,Service D,Low,Low,Medium,Closed,Low,2025-01-11T23:49:19.000000,Saturday,2025-01-12T04:49:19.000000,2025-01-13T10:49:19.000000,4,5.0,30.0,35.0,0
CHG-0000040,Device removed from inventory,Hardware,Captain America,Captain America,Avengers,Service A,Low,Low,Medium,In Progress,Low,2025-01-11T07:35:06.000000,Saturday,2025-01-11T14:35:06.000000,,2,7.0,0.0,0.0,0
CHG-0000041,Data retention policy updated,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service E,High,High,Low,Closed,Medium,2025-01-11T10:32:37.000000,Saturday,2025-01-11T13:32:37.000000,2025-01-12T08:32:37.000000,3,3.0,19.0,22.0,0
CHG-0000042,Network route adjusted,Facilities,Iron Man,Iron Man,Avengers,Service C,Low,High,Medium,Closed,Medium,2025-01-12T21:03:30.000000,Sunday,2025-01-13T04:03:30.000000,2025-01-13T09:03:30.000000,0,7.0,5.0,12.0,0
CHG-0000043,Monitoring rules adjusted,Software,John Cena,John Cena,Matrix,Service D,Low,Medium,Low,Closed,Medium,2025-01-12T20:33:34.000000,Sunday,2025-01-12T23:33:34.000000,2025-01-14T02:33:34.000000,1,3.0,27.0,30.0,1
CHG-0000044,Service dependency changed,Access,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Low,Medium,Closed,Medium,2025-01-12T03:41:32.000000,Sunday,2025-01-12T06:41:32.000000,2025-01-12T18:41:32.000000,5,3.0,12.0,15.0,0
CHG-0000045,Device added to network,Network,Iron Man,Iron Man,Avengers,Service C,High,High,High,Closed,Medium,2025-01-12T09:46:24.000000,Sunday,2025-01-12T15:46:24.000000,2025-01-13T01:46:24.000000,5,6.0,10.0,16.0,0
CHG-0000046,Device firmware updated,Failure,Hulk,Hulk,Avengers,Service E,Low,Low,Medium,On Hold,Low,2025-01-12T07:34:35.000000,Sunday,,,3,0.0,0.0,0.0,0
CHG-0000047,User profile updated,Failure,Hulk,Hulk,Avengers,Service C,High,High,High,Closed,Medium,2025-01-13T06:39:18.000000,Monday,2025-01-13T11:39:18.000000,2025-01-14T15:39:18.000000,1,5.0,28.0,33.0,1
CHG-0000048,Backup schedule updated,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service E,Medium,High,Medium,Closed,Medium,2025-01-13T20:11:08.000000,Monday,2025-01-14T01:11:08.000000,2025-01-14T17:11:08.000000,4,5.0,16.0,21.0,0
CHG-0000049,Network route adjusted,Failure,Loki,Loki,Avengers,Service C,Medium,High,Medium,Closed,High,2025-01-14T06:17:40.000000,Tuesday,2025-01-14T14:17:40.000000,2025-01-15T04:17:40.000000,4,8.0,14.0,22.0,0
CHG-0000050,Device monitoring enabled,Network,John Wick,John Wick,Matrix,Service D,Medium,High,Medium,Closed,High,2025-01-14T20:07:46.000000,Tuesday,2025-01-15T03:07:46.000000,2025-01-15T05:07:46.000000,5,7.0,2.0,9.0,0
CHG-0000051,System resource increased,Access,Iron Man,Iron Man,Avengers,Service E,Low,Low,High,Closed,Medium,2025-01-14T16:51:22.000000,Tuesday,2025-01-14T23:51:22.000000,2025-01-15T09:51:22.000000,0,7.0,10.0,17.0,0
CHG-0000052,User group membership changed,Network,Captain America,Captain America,Avengers,Service E,Medium,Medium,Medium,Closed,Medium,2025-01-15T06:21:39.000000,Wednesday,2025-01-15T10:21:39.000000,2025-01-15T17:21:39.000000,2,4.0,7.0,11.0,0
CHG-0000053,Application deployed,Network,Shang Chi,Shang Chi,Avengers II,Service B,Low,Medium,High,Closed,High,2025-01-16T20:53:03.000000,Thursday,2025-01-16T22:53:03.000000,2025-01-17T05:53:03.000000,0,2.0,7.0,9.0,0
CHG-0000054,Data retention policy updated,Data,Doctor Strange,Doctor Strange,Avengers II,Service D,Medium,Medium,Medium,Closed,High,2025-01-16T12:35:23.000000,Thursday,2025-01-16T19:35:23.000000,2025-01-17T00:35:23.000000,3,7.0,5.0,12.0,0
CHG-0000055,Application feature enabled,Failure,Loki,Loki,Avengers,Service E,High,Low,Low,Closed,High,2025-01-16T07:16:13.000000,Thursday,2025-01-16T09:16:13.000000,2025-01-16T20:16:13.000000,0,2.0,11.0,13.0,0
CHG-0000056,System update applied,Failure,Shang Chi,Shang Chi,Avengers II,Service E,Medium,Low,High,Closed,High,2025-01-16T17:23:05.000000,Thursday,2025-01-16T23:23:05.000000,2025-01-18T09:23:05.000000,3,6.0,34.0,40.0,1
CHG-0000057,Application access granted,Complaint,Hulk,Hulk,Avengers,Service D,High,Medium,Low,New,Critical,2025-01-16T11:58:12.000000,Thursday,,,3,0.0,0.0,0.0,0
CHG-0000058,User account updated,Facilities,Captain America,Captain America,Avengers,Service A,Low,Low,Low,Closed,Low,2025-01-17T23:49:17.000000,Friday,2025-01-18T03:49:17.000000,2025-01-18T12:49:17.000000,3,4.0,9.0,13.0,0
CHG-0000059,System resource increased,Network,Batman,Batman,Matrix,Service C,Medium,Medium,Medium,Closed,Critical,2025-01-18T18:16:29.000000,Saturday,2025-01-19T02:16:29.000000,2025-01-19T19:16:29.000000,5,8.0,17.0,25.0,1
CHG-0000060,Resource allocation changed,Complaint,Iron Man,Iron Man,Avengers,Service C,High,Medium,Low,Closed,Low,2025-01-18T00:34:57.000000,Saturday,2025-01-18T05:34:57.000000,2025-01-19T12:34:57.000000,5,5.0,31.0,36.0,0
CHG-0000061,Application feature enabled,Hardware,Captain America,Captain America,Avengers,Service E,High,Medium,Low,Closed,High,2025-01-18T07:12:12.000000,Saturday,2025-01-18T11:12:12.000000,2025-01-19T17:12:12.000000,0,4.0,30.0,34.0,1
CHG-0000062,Device monitoring enabled,Failure,Loki,Loki,Avengers,Service D,High,Medium,High,Closed,High,2025-01-19T07:48:45.000000,Sunday,2025-01-19T12:48:45.000000,2025-01-20T06:48:45.000000,2,5.0,18.0,23.0,1
CHG-0000063,Service port changed,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Low,Medium,Low,Closed,High,2025-01-19T01:40:40.000000,Sunday,2025-01-19T08:40:40.000000,2025-01-19T17:40:40.000000,0,7.0,9.0,16.0,0
CHG-0000064,Data retention policy updated,Facilities,John Cena,John Cena,Matrix,Service E,High,High,Medium,New,Medium,2025-01-19T05:57:26.000000,Sunday,,,4,0.0,0.0,0.0,0
CHG-0000065,User session reset,Network,John Cena,John Cena,Matrix,Service E,Medium,Low,High,Closed,Medium,2025-01-20T09:36:50.000000,Monday,2025-01-20T15:36:50.000000,2025-01-21T21:36:50.000000,4,6.0,30.0,36.0,1
CHG-0000066,Access policy reviewed,Hardware,Thor,Thor,Avengers,Service D,Low,Medium,Medium,Closed,Medium,2025-01-20T18:12:35.000000,Monday,2025-01-20T22:12:35.000000,2025-01-21T04:12:35.000000,3,4.0,6.0,10.0,0
CHG-0000067,Application configuration changed,Failure,Thor,Thor,Avengers,Service D,Low,High,High,Closed,Medium,2025-01-20T16:56:46.000000,Monday,2025-01-20T23:56:46.000000,2025-01-21T16:56:46.000000,0,7.0,17.0,24.0,0
CHG-0000068,Application deployed,Facilities,Thor,Thor,Avengers,Service A,Medium,High,Low,Closed,High,2025-01-21T03:33:55.000000,Tuesday,2025-01-21T07:33:55.000000,2025-01-22T10:33:55.000000,3,4.0,27.0,31.0,1
CHG-0000069,System notification configured,Software,Hulk,Hulk,Avengers,Service C,Medium,High,High,Closed,Medium,2025-01-21T04:10:28.000000,Tuesday,2025-01-21T12:10:28.000000,2025-01-22T13:10:28.000000,1,8.0,25.0,33.0,1
CHG-0000070,Device added to network,Hardware,Loki,Loki,Avengers,Service D,Low,Low,Medium,Closed,Low,2025-01-21T17:51:07.000000,Tuesday,2025-01-21T22:51:07.000000,2025-01-22T22:51:07.000000,4,5.0,24.0,29.0,0
CHG-0000071,Device monitoring enabled,Software,Iron Man,Iron Man,Avengers,Service E,Low,Medium,Medium,On Hold,High,2025-01-22T21:52:56.000000,Wednesday,,,2,0.0,0.0,0.0,0
CHG-0000072,Data import completed,Facilities,Neo,Neo,Matrix,Service E,Low,Low,Medium,Closed,High,2025-01-22T21:48:21.000000,Wednesday,2025-01-23T00:48:21.000000,2025-01-23T22:48:21.000000,0,3.0,22.0,25.0,1
CHG-0000073,Application configuration changed,Network,John Wick,John Wick,Matrix,Service D,High,Medium,Low,Closed,Low,2025-01-22T05:50:43.000000,Wednesday,2025-01-22T11:50:43.000000,2025-01-23T13:50:43.000000,3,6.0,26.0,32.0,0
CHG-0000074,Network settings adjusted,Hardware,Thor,Thor,Avengers,Service E,High,Low,Medium,Closed,High,2025-01-23T23:48:43.000000,Thursday,2025-01-24T04:48:43.000000,2025-01-25T04:48:43.000000,0,5.0,24.0,29.0,1
CHG-0000075,Application shortcut created,Hardware,Spiderman,Spiderman,Avengers II,Service B,Low,Medium,High,Closed,Medium,2025-01-23T07:18:34.000000,Thursday,2025-01-23T11:18:34.000000,2025-01-24T18:18:34.000000,1,4.0,31.0,35.0,1
CHG-0000076,Routine maintenance performed,Facilities,Hulk,Hulk,Avengers,Service B,Low,Low,High,Closed,Low,2025-01-23T12:15:00.000000,Thursday,2025-01-23T15:15:00.000000,2025-01-25T02:15:00.000000,2,3.0,35.0,38.0,0
CHG-0000077,Data import completed,Complaint,Captain America,Captain America,Avengers,Service E,Low,High,Low,Closed,Low,2025-01-23T02:34:41.000000,Thursday,2025-01-23T07:34:41.000000,2025-01-24T05:34:41.000000,5,5.0,22.0,27.0,0
CHG-0000078,Application shortcut created,Network,Shang Chi,Shang Chi,Avengers II,Service D,Low,Medium,Low,Closed,Medium,2025-01-24T17:52:59.000000,Friday,2025-01-24T22:52:59.000000,2025-01-25T10:52:59.000000,1,5.0,12.0,17.0,0
CHG-0000079,User session reset,Network,Spiderman,Spiderman,Avengers II,Service C,High,Low,Medium,Closed,High,2025-01-24T07:05:04.000000,Friday,2025-01-24T11:05:04.000000,2025-01-25T01:05:04.000000,4,4.0,14.0,18.0,0
CHG-0000080,Service integration updated,Complaint,Batman,Batman,Matrix,Service C,Low,Medium,High,On Hold,High,2025-01-25T01:34:58.000000,Saturday,,,3,0.0,0.0,0.0,0
CHG-0000081,Software version upgraded,Access,Loki,Loki,Avengers,Service E,High,Low,Medium,Closed,Medium,2025-01-25T02:29:12.000000,Saturday,2025-01-25T09:29:12.000000,2025-01-26T10:29:12.000000,4,7.0,25.0,32.0,1
CHG-0000082,Password policy updated,Hardware,Captain America,Captain America,Avengers,Service A,High,Low,Low,Closed,Medium,2025-01-25T15:14:58.000000,Saturday,2025-01-25T20:14:58.000000,2025-01-26T00:14:58.000000,2,5.0,4.0,9.0,0
CHG-0000083,Scheduled job modified,Network,Shang Chi,Shang Chi,Avengers II,Service C,Medium,Medium,High,Closed,High,2025-01-25T18:42:15.000000,Saturday,2025-01-25T22:42:15.000000,2025-01-27T10:42:15.000000,0,4.0,36.0,40.0,1
CHG-0000084,Application configuration changed,Software,Captain America,Captain America,Avengers,Service D,Low,High,High,New,High,2025-01-25T13:31:55.000000,Saturday,,,0,0.0,0.0,0.0,0
CHG-0000085,Device firmware updated,Network,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Medium,Low,Closed,High,2025-01-26T08:03:08.000000,Sunday,2025-01-26T16:03:08.000000,2025-01-27T20:03:08.000000,2,8.0,28.0,36.0,1
CHG-0000086,Device monitoring enabled,Complaint,Spiderman,Spiderman,Avengers II,Service D,Medium,High,Low,Closed,Low,2025-01-26T04:35:45.000000,Sunday,2025-01-26T07:35:45.000000,2025-01-27T03:35:45.000000,4,3.0,20.0,23.0,0
CHG-0000087,Network route adjusted,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,High,Low,High,In Progress,High,2025-01-26T02:48:15.000000,Sunday,2025-01-26T07:48:15.000000,,2,5.0,0.0,0.0,0
CHG-0000088,Device access restricted,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Medium,Low,Low,Closed,Low,2025-01-27T04:23:20.000000,Monday,2025-01-27T10:23:20.000000,2025-01-27T13:23:20.000000,1,6.0,3.0,9.0,0
CHG-0000089,Access policy reviewed,Complaint,Spiderman,Spiderman,Avengers II,Service A,Low,High,Low,Closed,High,2025-01-27T05:58:11.000000,Monday,2025-01-27T07:58:11.000000,2025-01-27T09:58:11.000000,4,2.0,2.0,4.0,0
CHG-0000090,System log settings updated,Data,Thor,Thor,Avengers,Service A,Low,Medium,High,Closed,High,2025-01-27T16:26:31.000000,Monday,2025-01-27T22:26:31.000000,2025-01-28T13:26:31.000000,5,6.0,15.0,21.0,0
CHG-0000091,User profile updated,Hardware,Shang Chi,Shang Chi,Avengers II,Service E,Low,High,High,Closed,High,2025-01-27T00:07:52.000000,Monday,2025-01-27T08:07:52.000000,2025-01-27T22:07:52.000000,3,8.0,14.0,22.0,0
CHG-0000092,User session reset,Data,Neo,Neo,Matrix,Service C,Low,Medium,Medium,Closed,Low,2025-01-27T05:50:38.000000,Monday,2025-01-27T10:50:38.000000,2025-01-28T11:50:38.000000,4,5.0,25.0,30.0,0
CHG-0000093,Service restarted,Facilities,Spiderman,Spiderman,Avengers II,Service D,Low,Low,High,Closed,Medium,2025-01-28T09:14:23.000000,Tuesday,2025-01-28T14:14:23.000000,2025-01-29T09:14:23.000000,0,5.0,19.0,24.0,0
CHG-0000094,Backup schedule updated,Access,Shang Chi,Shang Chi,Avengers II,Service D,High,High,Medium,Closed,High,2025-01-28T06:10:08.000000,Tuesday,2025-01-28T10:10:08.000000,2025-01-29T11:10:08.000000,3,4.0,25.0,29.0,1
CHG-0000095,User authentication method updated,Network,Spiderman,Spiderman,Avengers II,Service A,High,High,Low,On Hold,Low,2025-01-28T01:38:37.000000,Tuesday,,,4,0.0,0.0,0.0,0
CHG-0000096,Network route adjusted,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service C,Low,Medium,Medium,Closed,Medium,2025-01-28T23:38:12.000000,Tuesday,2025-01-29T05:38:12.000000,2025-01-30T02:38:12.000000,5,6.0,21.0,27.0,0
CHG-0000097,User profile updated,Failure,Captain America,Captain America,Avengers,Service B,Medium,Medium,Low,Closed,Low,2025-01-28T21:27:51.000000,Tuesday,2025-01-29T02:27:51.000000,2025-01-30T02:27:51.000000,2,5.0,24.0,29.0,0
CHG-0000098,Routine maintenance performed,Hardware,Iron Man,Iron Man,Avengers,Service A,Medium,Medium,Low,Closed,Medium,2025-01-29T09:21:39.000000,Wednesday,2025-01-29T12:21:39.000000,2025-01-30T22:21:39.000000,0,3.0,34.0,37.0,1
CHG-0000099,Service dependency changed,Hardware,Hulk,Hulk,Avengers,Service C,Medium,Low,Medium,Closed,Low,2025-01-29T17:39:12.000000,Wednesday,2025-01-30T01:39:12.000000,2025-01-30T19:39:12.000000,4,8.0,18.0,26.0,0
CHG-0000100,Application log reviewed,Software,Shang Chi,Shang Chi,Avengers II,Service D,High,High,High,Closed,Medium,2025-01-30T09:47:48.000000,Thursday,2025-01-30T14:47:48.000000,2025-02-01T02:47:48.000000,4,5.0,36.0,41.0,1
CHG-0000101,User session reset,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service D,Low,Medium,Medium,On Hold,High,2025-01-30T14:26:16.000000,Thursday,,,0,0.0,0.0,0.0,0
CHG-0000102,System role assigned,Network,Shang Chi,Shang Chi,Avengers II,Service E,Medium,High,Low,Closed,High,2025-01-31T17:12:28.000000,Friday,2025-01-31T23:12:28.000000,2025-02-01T21:12:28.000000,5,6.0,22.0,28.0,1
CHG-0000103,Resource allocation changed,Access,Loki,Loki,Avengers,Service B,Low,Low,Low,Closed,High,2025-01-31T09:39:43.000000,Friday,2025-01-31T14:39:43.000000,2025-02-02T01:39:43.000000,4,5.0,35.0,40.0,1
CHG-0000104,Device removed from inventory,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Medium,Low,Closed,Low,2025-01-31T22:12:36.000000,Friday,2025-02-01T03:12:36.000000,2025-02-01T13:12:36.000000,3,5.0,10.0,15.0,0
CHG-0000105,Scheduled job modified,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Low,High,Medium,Closed,Low,2025-01-31T03:55:04.000000,Friday,2025-01-31T07:55:04.000000,2025-02-01T03:55:04.000000,5,4.0,20.0,24.0,0
CHG-0000106,Configuration setting changed,Failure,Loki,Loki,Avengers,Service A,Low,High,High,Closed,Medium,2025-02-01T06:38:34.000000,Saturday,2025-02-01T09:38:34.000000,2025-02-01T12:38:34.000000,5,3.0,3.0,6.0,0
CHG-0000107,Application deployed,Complaint,John Cena,John Cena,Matrix,Service A,Low,Low,High,Closed,Medium,2025-02-02T11:24:52.000000,Sunday,2025-02-02T18:24:52.000000,2025-02-03T05:24:52.000000,1,7.0,11.0,18.0,0
CHG-0000108,Service status checked,Hardware,Iron Man,Iron Man,Avengers,Service B,Medium,High,Low,Closed,Low,2025-02-03T01:04:01.000000,Monday,2025-02-03T08:04:01.000000,2025-02-04T08:04:01.000000,1,7.0,24.0,31.0,0
CHG-0000109,Database maintenance completed,Software,Shang Chi,Shang Chi,Avengers II,Service E,Medium,Medium,Low,Closed,Medium,2025-02-03T04:37:58.000000,Monday,2025-02-03T09:37:58.000000,2025-02-04T00:37:58.000000,0,5.0,15.0,20.0,0
CHG-0000110,Device configuration updated,Facilities,John Wick,John Wick,Matrix,Service B,Low,Medium,Medium,On Hold,Medium,2025-02-04T17:17:39.000000,Tuesday,,,3,0.0,0.0,0.0,0
CHG-0000111,Scheduled task created,Failure,Hulk,Hulk,Avengers,Service D,Low,High,Medium,Closed,Medium,2025-02-04T15:24:40.000000,Tuesday,2025-02-04T21:24:40.000000,2025-02-05T05:24:40.000000,4,6.0,8.0,14.0,0
CHG-0000112,Backup schedule updated,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Medium,Low,High,Closed,Critical,2025-02-04T18:49:55.000000,Tuesday,2025-02-04T21:49:55.000000,2025-02-05T17:49:55.000000,2,3.0,20.0,23.0,1
