Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-11,Unsupported remote desktop tool detected on endpoint,Failure,Jan,Peter,Matrix,Service A,Closed,Low,Low,Low,Medium,2025-01-01T05:14:49.000000,2025-01-01T06:24:42.000000,2025-01-03T01:01:09.000000,0,Wednesday,1,1.1647222222222222,42.6075,43.772222222222226,0
CR-12,Unauthorized attempt to disable endpoint protection,Hardware,Iron Man,Jan,Avengers II,Service C,Closed,Medium,High,High,Low,2025-01-01T07:28:41.000000,2025-01-01T11:51:12.000000,2025-01-01T16:59:32.000000,0,Wednesday,1,4.375277777777778,5.138888888888889,9.514166666666666,0
CR-13,Endpoint reported repeated blocked exploit attempts,Facilities,Thor,Thor,Avengers II,Service C,Closed,Low,Low,High,Low,2025-01-01T07:41:45.000000,2025-01-01T15:40:56.000000,2025-01-03T09:15:33.000000,1,Wednesday,0,7.9863888888888885,41.57694444444444,49.56333333333333,0
CR-14,Certificate validation failure on secure connection,Data,Iron Man,Peter,Avengers,Service B,Closed,Medium,Medium,High,High,2025-01-01T20:07:54.000000,2025-01-02T00:51:21.000000,2025-01-03T21:28:39.000000,0,Wednesday,1,4.724166666666667,44.62166666666667,49.34583333333333,1
CR-15,Anomalous login pattern for service account,Complaint,Martin,Thor,Avengers II,Service B,Closed,Medium,Medium,High,High,2025-01-01T14:53:18.000000,2025-01-01T23:42:03.000000,2025-01-02T23:20:24.000000,1,Wednesday,0,8.8125,23.639166666666668,32.45166666666667,0
CR-16,Suspicious authentication token reuse detected,Software,Jan,Martin,Matrix,Service C,Closed,High,High,Low,High,2025-01-01T08:16:59.000000,2025-01-01T15:59:22.000000,2025-01-01T22:11:18.000000,1,Wednesday,0,7.706388888888889,6.198888888888889,13.905277777777778,0
CR-17,New device connected to corporate Wi-Fi without registration,Facilities,Captain America,Peter,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T21:31:50.000000,2025-01-02T04:34:38.000000,2025-01-03T20:16:12.000000,1,Wednesday,0,7.046666666666667,39.69277777777778,46.739444444444445,1
CR-18,Privileged user access review identified anomalies,Facilities,Martin,Peter,Avengers II,Service B,Closed,High,Low,Medium,Medium,2025-01-01T17:41:53.000000,2025-01-02T01:55:40.000000,2025-01-02T07:18:22.000000,0,Wednesday,1,8.229722222222222,5.378333333333333,13.608055555555556,0
CR-19,Account lockout due to repeated failed authentication,Failure,Thor,Peter,Avengers II,Service C,On Hold,High,Low,High,Low,2025-01-01T19:12:35.000000,,,0,Wednesday,1,0.0,0.0,0.0,0
CR-20,Unencrypted data transfer detected over public network,Complaint,Peter,Peter,Matrix,Service B,Closed,Medium,Low,Medium,High,2025-01-01T19:30:30.000000,2025-01-01T22:27:04.000000,2025-01-03T11:54:56.000000,0,Wednesday,1,2.9427777777777777,37.464444444444446,40.407222222222224,0
CR-21,Abnormal API access pattern from external client,Network,Martin,Jan,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T17:07:31.000000,2025-01-01T19:45:37.000000,2025-01-03T01:50:45.000000,1,Wednesday,0,2.635,30.085555555555555,32.720555555555556,1
CR-22,Unapproved connection to third-party cloud service,Hardware,Jan,Captain America,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T17:01:55.000000,2025-01-01T20:42:39.000000,2025-01-02T07:44:17.000000,0,Wednesday,1,3.678888888888889,11.027222222222223,14.706111111111111,0
CR-23,New privileged account created without proper approval,Hardware,Peter,Michal,Avengers,Service A,New,Medium,Medium,High,High,2025-01-01T10:31:32.000000,,,1,Wednesday,0,0.0,0.0,0.0,0
CR-24,Phishing email reported by employee,Failure,Iron Man,Martin,Avengers,Service A,Closed,Medium,High,Medium,Medium,2025-01-01T22:28:04.000000,2025-01-02T05:07:30.000000,2025-01-03T16:08:16.000000,1,Wednesday,0,6.657222222222222,35.01277777777778,41.67,1
CR-25,Suspicious PowerShell activity detected on workstation,Facilities,Peter,Iron Man,Matrix,Service C,Closed,Medium,Low,Low,Medium,2025-01-01T22:09:38.000000,2025-01-02T00:09:50.000000,2025-01-02T09:51:52.000000,0,Wednesday,1,2.0033333333333334,9.700555555555555,11.703888888888889,0
CR-26,Abnormal outbound DNS requests from single host,Facilities,Martin,Captain America,Matrix,Service C,Closed,Medium,High,Low,Low,2025-01-01T01:33:29.000000,2025-01-01T09:12:42.000000,2025-01-01T18:34:46.000000,1,Wednesday,0,7.653611111111111,9.367777777777778,17.02138888888889,1
CR-27,Suspicious PowerShell activity detected on workstation,Software,Thor,Michal,Avengers II,Service B,Closed,Medium,Medium,Low,High,2025-01-01T05:25:19.000000,2025-01-01T09:15:06.000000,2025-01-01T17:27:33.000000,1,Wednesday,0,3.8297222222222222,8.2075,12.037222222222223,0
CR-28,Unauthorized attempt to disable endpoint protection,Failure,Peter,Captain America,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-01-01T18:25:50.000000,2025-01-02T00:58:37.000000,2025-01-03T19:03:42.000000,0,Wednesday,1,6.546388888888889,42.084722222222226,48.63111111111111,0
CR-29,New device connected to corporate Wi-Fi without registration,Hardware,Michal,Peter,Avengers,Service B,Closed,High,High,Low,High,2025-01-01T21:17:49.000000,2025-01-02T06:01:36.000000,2025-01-02T08:29:46.000000,1,Wednesday,0,8.729722222222222,2.4694444444444446,11.199166666666667,0
CR-30,Firewall detected and blocked port scanning activity,Network,Michal,Martin,Avengers,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T21:56:22.000000,2025-01-02T00:32:47.000000,2025-01-02T13:07:51.000000,0,Wednesday,1,2.6069444444444443,12.584444444444445,15.19138888888889,0
CR-31,New local administrator account detected on endpoint,Complaint,Jan,Martin,Avengers,Service B,Closed,High,Low,Medium,Low,2025-01-01T11:09:54.000000,2025-01-01T18:00:09.000000,2025-01-03T11:36:53.000000,1,Wednesday,0,6.8375,41.61222222222222,48.44972222222222,0
CR-32,Multiple devices reporting same malware signature,Software,Thor,Michal,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-01T13:33:29.000000,2025-01-01T19:37:18.000000,2025-01-03T11:07:08.000000,0,Wednesday,1,6.063611111111111,39.49722222222222,45.560833333333335,1
CR-33,Unauthorized installation of unapproved software,Access,Peter,Thor,Avengers,Service C,Closed,Medium,High,Low,Medium,2025-01-01T06:20:17.000000,2025-01-01T14:38:07.000000,2025-01-01T18:59:09.000000,1,Wednesday,0,8.297222222222222,4.350555555555555,12.647777777777778,0
CR-34,Security policy violation on mobile device,Complaint,Peter,Martin,Matrix,Service B,On Hold,High,Medium,Low,High,2025-01-01T07:09:56.000000,,,1,Wednesday,0,0.0,0.0,0.0,0
CR-35,Denied attempt to access privileged management console,Complaint,Martin,Captain America,Avengers,Service A,On Hold,Medium,Low,Low,Low,2025-01-01T12:02:12.000000,,,1,Wednesday,0,0.0,0.0,0.0,0
CR-36,Unusual traffic to anonymization service detected,Network,Jan,Martin,Matrix,Service C,Closed,High,High,Medium,High,2025-01-01T12:42:13.000000,2025-01-01T15:10:28.000000,2025-01-02T21:11:15.000000,0,Wednesday,1,2.470833333333333,30.013055555555557,32.48388888888889,1
CR-37,Unusual file encryption activity detected on server,Failure,Martin,Jan,Avengers II,Service C,Closed,Low,Medium,High,Low,2025-01-01T18:59:58.000000,2025-01-01T22:43:16.000000,2025-01-03T17:05:23.000000,1,Wednesday,0,3.7216666666666667,42.368611111111115,46.09027777777778,1
CR-38,Brute force attack detected on remote access gateway,Facilities,Martin,Thor,Avengers II,Service C,Closed,High,Medium,Low,Low,2025-01-01T22:56:28.000000,2025-01-02T05:29:15.000000,2025-01-03T06:38:39.000000,1,Wednesday,0,6.546388888888889,25.156666666666666,31.703055555555554,1
CR-39,New network share created without change request,Failure,Martin,Thor,Avengers,Service C,Closed,High,Medium,High,Medium,2025-01-01T18:28:02.000000,2025-01-01T22:11:50.000000,2025-01-02T21:52:20.000000,1,Wednesday,0,3.73,23.675,27.405,0
CR-40,Email account used to send large volume of external messages,Complaint,Thor,Iron Man,Avengers,Service B,Closed,Medium,Medium,High,Low,2025-01-01T04:30:26.000000,2025-01-01T12:25:28.000000,2025-01-02T00:32:54.000000,0,Wednesday,1,7.917222222222223,12.123888888888889,20.04111111111111,0
CR-41,Denied attempt to access privileged management console,Access,Iron Man,Jan,Avengers II,Service C,Closed,High,Low,Medium,Medium,2025-01-01T22:18:47.000000,2025-01-02T06:34:01.000000,2025-01-03T23:18:23.000000,0,Wednesday,1,8.25388888888889,40.739444444444445,48.99333333333333,0
CR-42,Suspicious authentication attempts to database server,Network,Jan,Peter,Avengers,Service B,Closed,High,Medium,Low,High,2025-01-01T00:29:53.000000,2025-01-01T08:41:09.000000,2025-01-02T04:03:12.000000,1,Wednesday,0,8.187777777777777,19.3675,27.55527777777778,0
CR-43,Multiple failed login attempts detected on user account,Network,Michal,Peter,Matrix,Service A,Closed,High,Medium,Low,Low,2025-01-01T19:57:04.000000,2025-01-02T00:49:03.000000,2025-01-03T02:46:04.000000,1,Wednesday,0,4.866388888888889,25.950277777777778,30.816666666666666,1
CR-44,Suspicious login attempt from unknown IP address,Hardware,Captain America,Jan,Avengers II,Service C,Closed,Low,Medium,Low,High,2025-01-01T08:01:43.000000,2025-01-01T11:23:20.000000,2025-01-02T21:25:10.000000,1,Wednesday,0,3.3602777777777777,34.03055555555556,37.39083333333333,1
CR-45,Unsupported remote desktop tool detected on endpoint,Complaint,Peter,Thor,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-01T21:28:39.000000,2025-01-02T04:00:01.000000,2025-01-02T20:55:41.000000,1,Wednesday,0,6.522777777777778,16.927777777777777,23.450555555555557,0
CR-46,New network share created without change request,Facilities,Thor,Michal,Avengers II,Service B,Closed,Medium,Low,Medium,Medium,2025-01-01T10:41:50.000000,2025-01-01T19:22:56.000000,2025-01-03T07:34:08.000000,1,Wednesday,0,8.685,36.18666666666667,44.87166666666667,0
CR-47,Unusual file encryption activity detected on server,Software,Thor,Thor,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-01-01T18:48:24.000000,2025-01-01T22:23:21.000000,2025-01-03T17:39:58.000000,1,Wednesday,0,3.5825,43.276944444444446,46.85944444444444,1
CR-48,Suspicious authentication token reuse detected,Complaint,Captain America,Iron Man,Avengers,Service C,In Progress,Low,High,High,Low,2025-01-01T05:38:33.000000,2025-01-01T09:56:54.000000,,1,Wednesday,0,4.305833333333333,0.0,0.0,0
CR-49,Unencrypted data transfer detected over public network,Failure,Martin,Iron Man,Avengers,Service C,Closed,High,Low,High,Medium,2025-01-01T19:58:25.000000,2025-01-02T00:25:14.000000,2025-01-02T17:28:18.000000,0,Wednesday,1,4.446944444444444,17.051111111111112,21.498055555555556,0
CR-50,Inactive account used for login attempt,Access,Michal,Thor,Avengers II,Service C,Closed,Medium,Medium,High,High,2025-01-01T00:00:30.000000,2025-01-01T08:20:32.000000,2025-01-01T21:04:44.000000,1,Wednesday,0,8.33388888888889,12.736666666666666,21.070555555555554,0
CR-51,Firewall detected and blocked port scanning activity,Hardware,Michal,Jan,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-01T20:41:44.000000,2025-01-02T00:21:16.000000,2025-01-03T04:16:04.000000,0,Wednesday,1,3.658888888888889,27.913333333333334,31.572222222222223,1
CR-52,Unapproved application communicating with external server,Access,Peter,Michal,Avengers II,Service C,Closed,High,Low,Medium,High,2025-01-01T16:08:26.000000,2025-01-01T18:45:01.000000,2025-01-03T05:23:29.000000,0,Wednesday,1,2.609722222222222,34.64111111111111,37.25083333333333,0
CR-53,Attempted login using default system credentials,Facilities,Iron Man,Jan,Matrix,Service A,Closed,High,Low,High,High,2025-01-01T23:10:19.000000,2025-01-02T05:22:25.000000,2025-01-02T16:48:36.000000,1,Wednesday,0,6.201666666666667,11.436388888888889,17.638055555555557,0
CR-54,Multiple failed VPN authentication attempts from external IP,Facilities,Thor,Jan,Avengers II,Service C,Closed,Low,Low,High,Medium,2025-01-01T22:05:21.000000,2025-01-02T02:53:51.000000,2025-01-02T21:23:24.000000,1,Wednesday,0,4.808333333333334,18.4925,23.300833333333333,0
CR-55,Login from decommissioned device detected in logs,Data,Jan,Iron Man,Matrix,Service B,Closed,High,Low,High,Low,2025-01-01T19:33:56.000000,2025-01-02T03:31:12.000000,2025-01-02T23:15:34.000000,0,Wednesday,1,7.954444444444444,19.739444444444445,27.69388888888889,0
CR-56,Firewall detected and blocked port scanning activity,Software,Iron Man,Michal,Avengers,Service A,Closed,High,High,High,High,2025-01-01T18:43:02.000000,2025-01-02T01:36:55.000000,2025-01-02T16:29:11.000000,0,Wednesday,1,6.898055555555556,14.87111111111111,21.769166666666667,1
CR-57,Multiple logins from different countries within short timeframe,Failure,Martin,Iron Man,Matrix,Service A,Closed,Low,Low,High,High,2025-01-01T18:45:25.000000,2025-01-01T22:36:41.000000,2025-01-02T15:56:15.000000,1,Wednesday,0,3.8544444444444443,17.32611111111111,21.180555555555557,0
CR-58,Unauthorized installation of unapproved software,Network,Iron Man,Martin,Avengers,Service B,Closed,High,Low,Medium,Low,2025-01-01T06:22:18.000000,2025-01-01T08:17:50.000000,2025-01-01T15:11:01.000000,1,Wednesday,0,1.9255555555555555,6.886388888888889,8.811944444444444,0
CR-59,Attempted login using default system credentials,Hardware,Michal,Martin,Matrix,Service A,Closed,Medium,Low,Medium,High,2025-01-01T16:46:13.000000,2025-01-01T20:37:20.000000,2025-01-02T21:26:04.000000,1,Wednesday,0,3.8519444444444444,24.81222222222222,28.664166666666667,0
CR-60,Phishing email reported by employee,Access,Jan,Martin,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T06:49:34.000000,2025-01-01T14:43:07.000000,2025-01-02T08:53:15.000000,1,Wednesday,0,7.8925,18.16888888888889,26.06138888888889,0
CR-61,Malicious JavaScript detected on visited webpage,Access,Peter,Jan,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-01T00:44:23.000000,2025-01-01T02:00:54.000000,2025-01-02T09:25:41.000000,0,Wednesday,1,1.2752777777777777,31.413055555555555,32.68833333333333,1
CR-62,Login from decommissioned device detected in logs,Access,Michal,Iron Man,Avengers,Service A,Closed,High,Medium,High,High,2025-01-01T16:04:29.000000,2025-01-01T19:06:38.000000,2025-01-02T18:34:07.000000,1,Wednesday,0,3.035833333333333,23.458055555555557,26.49388888888889,0
CR-63,Suspicious PowerShell activity detected on workstation,Complaint,Thor,Michal,Matrix,Service C,Closed,Low,Medium,Medium,High,2025-01-01T08:11:28.000000,2025-01-01T12:59:38.000000,2025-01-02T22:01:23.000000,0,Wednesday,1,4.802777777777778,33.02916666666667,37.831944444444446,1
CR-64,Unusual administrative activity on domain controller,Hardware,Iron Man,Thor,Matrix,Service B,Closed,High,High,Medium,Medium,2025-01-01T15:23:38.000000,2025-01-01T22:57:03.000000,2025-01-02T19:56:54.000000,0,Wednesday,1,7.5569444444444445,20.9975,28.554444444444446,1
CR-65,Unauthorized attempt to access security logs,Hardware,Peter,Martin,Avengers II,Service A,Closed,Medium,Low,Low,High,2025-01-01T10:07:01.000000,2025-01-01T12:24:42.000000,2025-01-02T01:59:49.000000,1,Wednesday,0,2.294722222222222,13.585277777777778,15.88,0
CR-66,Suspicious login attempt using expired credentials,Facilities,Michal,Peter,Matrix,Service B,Closed,High,High,Low,High,2025-01-01T21:13:45.000000,2025-01-01T23:00:07.000000,2025-01-03T17:24:05.000000,1,Wednesday,0,1.7727777777777778,42.39944444444444,44.172222222222224,1
CR-67,Multiple logins from different countries within short timeframe,Data,Captain America,Peter,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-01T13:03:52.000000,2025-01-01T16:30:27.000000,2025-01-02T20:02:42.000000,1,Wednesday,0,3.4430555555555555,27.5375,30.980555555555554,1
CR-68,Unusual access pattern to customer data records,Facilities,Martin,Martin,Matrix,Service B,Closed,High,High,Low,Medium,2025-01-01T18:56:51.000000,2025-01-02T01:51:44.000000,2025-01-03T20:24:49.000000,0,Wednesday,1,6.914722222222222,42.55138888888889,49.46611111111111,1
CR-69,Multiple logins from different countries within short timeframe,Complaint,Thor,Thor,Matrix,Service C,Closed,Medium,Medium,High,High,2025-01-01T05:34:07.000000,2025-01-01T06:44:17.000000,2025-01-03T00:30:03.000000,1,Wednesday,0,1.1694444444444445,41.76277777777778,42.93222222222222,1
CR-70,Login from decommissioned device detected in logs,Software,Martin,Martin,Matrix,Service B,Closed,Low,Low,Low,Medium,2025-01-01T13:17:08.000000,2025-01-01T19:20:44.000000,2025-01-03T02:24:07.000000,1,Wednesday,0,6.06,31.05638888888889,37.11638888888889,0
CR-71,Suspicious file execution blocked by application control,Software,Peter,Michal,Avengers,Service C,Closed,Low,Low,Medium,High,2025-01-01T13:11:26.000000,2025-01-01T17:26:22.000000,2025-01-02T04:13:09.000000,0,Wednesday,1,4.248888888888889,10.779722222222222,15.028611111111111,0
CR-72,Suspicious login attempt from unknown IP address,Hardware,Captain America,Martin,Matrix,Service A,Closed,Low,Low,Medium,High,2025-01-01T21:42:02.000000,2025-01-02T02:24:21.000000,2025-01-02T10:20:52.000000,0,Wednesday,1,4.705277777777778,7.941944444444444,12.647222222222222,0
CR-73,Suspicious PowerShell activity detected on workstation,Hardware,Thor,Iron Man,Avengers,Service B,Closed,Medium,Medium,Medium,High,2025-01-01T03:13:24.000000,2025-01-01T07:20:00.000000,2025-01-02T01:51:13.000000,0,Wednesday,1,4.11,18.52027777777778,22.630277777777778,0
CR-74,Phishing email reported by employee,Complaint,Iron Man,Martin,Avengers,Service A,Closed,High,Low,Low,Medium,2025-01-01T22:24:17.000000,2025-01-02T01:38:56.000000,2025-01-03T06:29:27.000000,0,Wednesday,1,3.2441666666666666,28.841944444444444,32.08611111111111,0
CR-75,Malicious JavaScript detected on visited webpage,Software,Peter,Jan,Matrix,Service C,New,High,Medium,Low,Medium,2025-01-01T11:50:04.000000,,,0,Wednesday,1,0.0,0.0,0.0,0
CR-76,Unusual file encryption activity detected on server,Network,Jan,Peter,Matrix,Service C,New,High,Medium,High,Medium,2025-01-01T09:48:44.000000,,,0,Wednesday,1,0.0,0.0,0.0,0
CR-77,Multiple password reset requests from same user,Facilities,Iron Man,Thor,Avengers II,Service A,Closed,Low,High,Low,High,2025-01-01T13:40:00.000000,2025-01-01T14:56:26.000000,2025-01-02T22:19:58.000000,1,Wednesday,0,1.2738888888888888,31.392222222222223,32.666111111111114,1
CR-78,Blocked attempt to upload sensitive data to cloud storage,Data,Peter,Thor,Matrix,Service C,Closed,Low,Medium,Medium,Low,2025-01-01T21:22:42.000000,2025-01-01T23:32:49.000000,2025-01-03T11:57:48.000000,1,Wednesday,0,2.1686111111111113,36.41638888888889,38.585,1
CR-79,Anomalous login pattern for service account,Hardware,Martin,Iron Man,Matrix,Service C,Closed,Medium,Low,Medium,High,2025-01-01T01:45:34.000000,2025-01-01T05:48:33.000000,2025-01-01T10:06:51.000000,0,Wednesday,1,4.049722222222222,4.305,8.354722222222222,0
CR-80,Phishing email reported by employee,Complaint,Thor,Jan,Matrix,Service B,Closed,Medium,High,Low,High,2025-01-01T06:08:59.000000,2025-01-01T07:24:48.000000,2025-01-02T04:29:37.000000,1,Wednesday,0,1.263611111111111,21.080277777777777,22.343888888888888,1
CR-81,Unapproved application communicating with external server,Facilities,Martin,Martin,Avengers II,Service B,New,Medium,Low,Medium,Medium,2025-01-01T07:42:36.000000,,,1,Wednesday,0,0.0,0.0,0.0,0
CR-82,Security policy violation on mobile device,Hardware,Captain America,Michal,Avengers,Service C,Closed,Medium,Low,Low,High,2025-01-01T10:56:42.000000,2025-01-01T14:57:34.000000,2025-01-03T00:01:36.000000,1,Wednesday,0,4.014444444444444,33.06722222222222,37.08166666666666,0
CR-83,Email forwarding rule created without user knowledge,Complaint,Iron Man,Jan,Avengers,Service B,On Hold,High,Low,Low,Low,2025-01-01T02:25:29.000000,,,0,Wednesday,1,0.0,0.0,0.0,0
CR-84,Attempted login using default system credentials,Network,Thor,Martin,Avengers,Service C,Closed,High,Low,Low,Medium,2025-01-01T15:30:39.000000,2025-01-01T17:25:48.000000,2025-01-02T16:04:33.000000,1,Wednesday,0,1.9191666666666667,22.645833333333332,24.565,0
CR-85,Unauthorized installation of unapproved software,Software,Captain America,Martin,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-01-01T16:46:38.000000,2025-01-02T00:44:37.000000,2025-01-02T20:02:33.000000,0,Wednesday,1,7.966388888888889,19.29888888888889,27.26527777777778,0
CR-86,Suspicious modification of registry keys on workstation,Failure,Iron Man,Michal,Avengers II,Service B,Closed,High,Medium,High,Low,2025-01-01T14:26:40.000000,2025-01-01T18:12:52.000000,2025-01-02T07:20:28.000000,0,Wednesday,1,3.77,13.126666666666667,16.89666666666667,0
CR-87,Phishing email reported by employee,Facilities,Thor,Martin,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T16:19:30.000000,2025-01-01T21:45:00.000000,2025-01-02T20:39:58.000000,0,Wednesday,1,5.425,22.91611111111111,28.34111111111111,0
CR-88,Anomalous login pattern for service account,Software,Captain America,Iron Man,Matrix,Service C,New,Medium,High,Low,High,2025-01-01T06:00:17.000000,,,0,Wednesday,1,0.0,0.0,0.0,0
CR-89,New privileged account created without proper approval,Failure,Peter,Thor,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-01-02T04:45:21.000000,2025-01-02T07:01:58.000000,2025-01-03T13:11:29.000000,0,Thursday,1,2.2769444444444447,30.15861111111111,32.43555555555555,1
CR-90,Firewall detected and blocked port scanning activity,Access,Iron Man,Martin,Avengers,Service B,Closed,Medium,High,Low,High,2025-01-02T05:20:54.000000,2025-01-02T14:18:24.000000,2025-01-03T08:14:06.000000,1,Thursday,0,8.958333333333334,17.928333333333335,26.886666666666667,1
CR-91,Suspicious authentication token reuse detected,Complaint,Thor,Jan,Matrix,Service C,Closed,High,Low,Medium,High,2025-01-02T00:37:02.000000,2025-01-02T02:28:17.000000,2025-01-03T17:35:53.000000,1,Thursday,0,1.8541666666666667,39.126666666666665,40.98083333333334,0
CR-92,Multiple password reset requests from same user,Hardware,Martin,Iron Man,Avengers,Service C,In Progress,High,Medium,High,Low,2025-01-02T03:33:10.000000,2025-01-02T06:22:30.000000,,1,Thursday,0,2.8222222222222224,0.0,0.0,0
CR-93,Abnormal outbound DNS requests from single host,Hardware,Peter,Jan,Avengers II,Service B,Closed,High,Medium,Low,High,2025-01-02T01:45:28.000000,2025-01-02T06:49:49.000000,2025-01-02T08:59:09.000000,1,Thursday,0,5.0725,2.1555555555555554,7.228055555555556,0
CR-94,Unauthorized attempt to access security logs,Complaint,Jan,Michal,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-02T14:13:37.000000,2025-01-02T15:17:42.000000,2025-01-02T21:28:28.000000,0,Thursday,1,1.0680555555555555,6.179444444444444,7.2475,0
CR-95,Inactive account used for login attempt,Data,Iron Man,Jan,Avengers,Service C,In Progress,High,High,Medium,Medium,2025-01-02T20:58:41.000000,2025-01-02T22:38:46.000000,,1,Thursday,0,1.6680555555555556,0.0,0.0,0
CR-96,Data loss prevention policy violation detected,Access,Thor,Thor,Avengers II,Service C,Closed,High,Low,Low,Low,2025-01-02T00:06:31.000000,2025-01-02T03:26:55.000000,2025-01-02T20:28:03.000000,0,Thursday,1,3.34,17.01888888888889,20.358888888888888,0
CR-97,Login from decommissioned device detected in logs,Software,Iron Man,Captain America,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-02T06:04:16.000000,2025-01-02T14:17:53.000000,2025-01-03T05:21:06.000000,1,Thursday,0,8.226944444444445,15.053611111111111,23.280555555555555,0
CR-98,Malicious macro detected in office document,Data,Thor,Michal,Avengers II,Service B,Closed,High,High,Low,High,2025-01-02T08:17:23.000000,2025-01-02T09:24:38.000000,2025-01-04T02:45:42.000000,1,Thursday,0,1.1208333333333333,41.35111111111111,42.471944444444446,1
CR-99,Unapproved connection to third-party cloud service,Facilities,Martin,Captain America,Matrix,Service B,Closed,High,Low,Low,Medium,2025-01-02T06:04:54.000000,2025-01-02T14:01:24.000000,2025-01-03T01:33:45.000000,1,Thursday,0,7.941666666666666,11.539166666666667,19.480833333333333,0
CR-100,Ransomware behavior detected and contained on endpoint,Failure,Thor,Thor,Avengers II,Service A,Closed,Low,High,Medium,High,2025-01-02T10:58:41.000000,2025-01-02T13:36:57.000000,2025-01-03T21:44:02.000000,1,Thursday,0,2.6377777777777776,32.11805555555556,34.755833333333335,1
