Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-11,Antivirus disabled on workstation: Protection compromised.,Software,Michal,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,High,2025-01-01T14:52:53.000000,2025-01-01T19:25:04.000000,2025-01-02T05:17:59.000000,0,Wednesday,1,4.536388888888889,9.881944444444445,14.418333333333333,0,2025-01
CR-12,Failed Workflow - ID: 0000,Network,Iron Man,Michal,Avengers II,Service C,Closed,Low,High,Medium,High,2025-01-01T18:44:46.000000,2025-01-01T22:38:18.000000,2025-01-03T12:05:25.000000,0,Wednesday,1,3.8922222222222222,37.45194444444444,41.344166666666666,1,2025-01
CR-13,Privileged account login attempt: Microsoft Admin flagged.,Hardware,Martin,Michal,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T17:35:31.000000,2025-01-01T21:15:30.000000,2025-01-02T19:58:19.000000,1,Wednesday,0,3.6663888888888887,22.71361111111111,26.38,0,2025-01
CR-14,Web server certificate expired: Issue flagged for priority teams.,Access,Jan,Thor,Avengers II,Service C,Closed,Low,Low,High,Medium,2025-01-01T12:44:37.000000,2025-01-01T15:47:09.000000,2025-01-02T13:55:58.000000,1,Wednesday,0,3.042222222222222,22.146944444444443,25.189166666666665,0,2025-01
CR-15,Authentication error: Multi-factor authentication failed.,Failure,Captain America,Thor,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T06:32:11.000000,2025-01-01T14:26:35.000000,2025-01-02T07:07:33.000000,0,Wednesday,1,7.906666666666666,16.682777777777776,24.589444444444446,0,2025-01
CR-16,Database schema corruption: Unable to read or query data tables.,Access,Iron Man,Peter,Avengers II,Service A,On Hold,High,Low,Medium,Medium,2025-01-01T08:24:36.000000,,,1,Wednesday,0,,,,0,2025-01
CR-17,Failed SSO login: Invalid credentials provided.,Facilities,Martin,Jan,Avengers II,Service C,Closed,Medium,Low,Medium,Medium,2025-01-01T16:11:17.000000,2025-01-01T18:44:05.000000,2025-01-02T18:54:19.000000,0,Wednesday,1,2.546666666666667,24.170555555555556,26.717222222222222,0,2025-01
CR-18,Security patch missing: Update not applied on critical server.,Facilities,Jan,Captain America,Avengers,Service B,Closed,High,Medium,High,Low,2025-01-01T03:53:42.000000,2025-01-01T11:20:26.000000,2025-01-03T04:59:38.000000,0,Wednesday,1,7.445555555555556,41.653333333333336,49.09888888888889,1,2025-01
CR-19,Breach alert: Privileged credentials exposed.,Data,Jan,Peter,Avengers,Service B,Closed,Medium,High,Medium,Low,2025-01-01T19:05:17.000000,2025-01-02T01:04:01.000000,2025-01-02T12:35:19.000000,1,Wednesday,0,5.978888888888889,11.521666666666667,17.500555555555554,1,2025-01
CR-20,Breach alert: Privileged credentials exposed.,Hardware,Thor,Thor,Avengers II,Service B,Closed,Low,Low,Medium,High,2025-01-01T07:06:19.000000,2025-01-01T10:28:39.000000,2025-01-02T17:59:22.000000,1,Wednesday,0,3.3722222222222222,31.511944444444445,34.884166666666665,0,2025-01
CR-21,Locked account: Excessive password retry attempts.,Failure,Captain America,Thor,Avengers,Service B,Closed,Low,Low,High,High,2025-01-01T02:02:15.000000,2025-01-01T04:11:53.000000,2025-01-01T16:40:40.000000,0,Wednesday,1,2.1605555555555553,12.479722222222222,14.640277777777778,0,2025-01
CR-22,File integrity check failed: Data corruption suspected.,Data,Thor,Michal,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-01T17:50:28.000000,2025-01-01T21:21:47.000000,2025-01-03T06:30:58.000000,1,Wednesday,0,3.5219444444444443,33.153055555555554,36.675,0,2025-01
CR-23,Service outage detected - No connection to database.,Data,Michal,Thor,Matrix,Service B,Closed,Medium,High,Low,Medium,2025-01-01T13:33:15.000000,2025-01-01T20:45:29.000000,2025-01-03T17:31:27.000000,1,Wednesday,0,7.203888888888889,44.76611111111111,51.97,1,2025-01
CR-24,Security patch missing: Update not applied on critical server.,Complaint,Captain America,Michal,Matrix,Service C,Closed,High,Low,Medium,Low,2025-01-01T05:55:21.000000,2025-01-01T11:19:38.000000,2025-01-01T23:26:05.000000,1,Wednesday,0,5.404722222222222,12.1075,17.51222222222222,0,2025-01
CR-25,Endpoint offline: Device not syncing with central server.,Complaint,Captain America,Martin,Avengers,Service B,Closed,High,High,Low,Low,2025-01-01T22:47:06.000000,2025-01-02T02:13:26.000000,2025-01-02T17:56:16.000000,1,Wednesday,0,3.438888888888889,15.713888888888889,19.15277777777778,1,2025-01
CR-26,Critical system alert: Root access attempted on production server.,Data,Michal,Peter,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-01T18:33:45.000000,2025-01-02T01:33:00.000000,2025-01-02T22:43:05.000000,0,Wednesday,1,6.9875,21.168055555555554,28.155555555555555,0,2025-01
CR-27,Database schema corruption: Unable to read or query data tables.,Software,Jan,Michal,Matrix,Service A,Closed,Low,High,Low,Medium,2025-01-01T17:28:58.000000,2025-01-01T21:12:49.000000,2025-01-02T18:41:32.000000,1,Wednesday,0,3.7308333333333334,21.47861111111111,25.209444444444443,1,2025-01
CR-28,Network issue: Unable to connect to external API.,Complaint,Thor,Michal,Matrix,Service B,Closed,High,High,Medium,High,2025-01-01T01:37:03.000000,2025-01-01T06:15:14.000000,2025-01-02T18:10:44.000000,1,Wednesday,0,4.636388888888889,35.925,40.56138888888889,1,2025-01
CR-29,Network issue: Unable to connect to external API.,Complaint,Jan,Martin,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-01T17:58:41.000000,2025-01-01T21:10:29.000000,2025-01-02T04:02:10.000000,0,Wednesday,1,3.1966666666666668,6.8613888888888885,10.058055555555555,0,2025-01
CR-30,User login failed: Account locked due to excessive login attempts.,Data,Jan,Jan,Avengers,Service B,Closed,High,Medium,Low,Low,2025-01-01T06:42:39.000000,2025-01-01T14:29:01.000000,2025-01-03T11:02:05.000000,0,Wednesday,1,7.772777777777778,44.55111111111111,52.32388888888889,1,2025-01
CR-31,Network issue: Unable to connect to external API.,Data,Captain America,Peter,Avengers II,Service C,Closed,Medium,High,Low,Low,2025-01-01T00:27:48.000000,2025-01-01T05:21:03.000000,2025-01-02T05:27:07.000000,1,Wednesday,0,4.8875,24.101111111111113,28.988611111111112,1,2025-01
CR-32,Cloud misconfiguration alert: Public exposure of sensitive data.,Facilities,Martin,Thor,Avengers II,Service A,Closed,Low,Low,Medium,Low,2025-01-01T10:29:08.000000,2025-01-01T18:04:12.000000,2025-01-02T01:11:58.000000,0,Wednesday,1,7.584444444444444,7.129444444444444,14.713888888888889,0,2025-01
CR-33,Privileged account login attempt: Microsoft Admin flagged.,Complaint,Michal,Martin,Avengers II,Service B,Closed,Medium,Low,Low,High,2025-01-01T15:54:33.000000,2025-01-02T00:48:40.000000,2025-01-02T20:30:26.000000,0,Wednesday,1,8.901944444444444,19.69611111111111,28.598055555555554,0,2025-01
CR-34,Failed Workflow - ID: 0000,Access,Iron Man,Jan,Matrix,Service A,Closed,High,Medium,High,High,2025-01-01T13:32:11.000000,2025-01-01T19:26:25.000000,2025-01-02T09:13:37.000000,1,Wednesday,0,5.903888888888889,13.786666666666667,19.690555555555555,0,2025-01
CR-35,Keylogger activity detected on user's workstation.,Hardware,Iron Man,Captain America,Avengers,Service C,Closed,High,High,High,Medium,2025-01-01T16:24:49.000000,2025-01-01T23:42:57.000000,2025-01-03T04:42:26.000000,1,Wednesday,0,7.302222222222222,28.99138888888889,36.29361111111111,1,2025-01
CR-36,DDoS attack mitigation active: Rate-limiting initiated.,Failure,Martin,Iron Man,Matrix,Service A,Closed,Low,High,Low,Medium,2025-01-01T16:38:54.000000,2025-01-02T00:02:05.000000,2025-01-02T03:14:20.000000,1,Wednesday,0,7.386388888888889,3.2041666666666666,10.590555555555556,0,2025-01
CR-37,Web application timeout: Performance degradation observed.,Network,Michal,Michal,Matrix,Service A,Closed,High,High,Medium,Low,2025-01-01T08:58:56.000000,2025-01-01T11:55:02.000000,2025-01-02T20:27:02.000000,1,Wednesday,0,2.935,32.53333333333333,35.468333333333334,1,2025-01
CR-38,Breach alert: Privileged credentials exposed.,Data,Martin,Thor,Avengers,Service C,Closed,High,High,Low,Medium,2025-01-01T15:12:04.000000,2025-01-01T21:09:27.000000,2025-01-01T23:26:37.000000,1,Wednesday,0,5.956388888888889,2.286111111111111,8.2425,0,2025-01
CR-39,Database transaction rollback error flagged for audit.,Software,Thor,Michal,Avengers,Service A,Closed,Medium,High,High,High,2025-01-01T07:52:33.000000,2025-01-01T12:49:16.000000,2025-01-02T03:48:11.000000,0,Wednesday,1,4.945277777777778,14.981944444444444,19.927222222222223,1,2025-01
CR-40,Phishing email flagged: User report received for fake login attempt.,Facilities,Martin,Iron Man,Matrix,Service A,Closed,Medium,Low,Medium,Medium,2025-01-01T21:13:44.000000,2025-01-02T04:27:20.000000,2025-01-03T23:15:24.000000,1,Wednesday,0,7.226666666666667,42.80111111111111,50.02777777777778,0,2025-01
CR-41,Privileged account login attempt: Microsoft Admin flagged.,Network,Martin,Iron Man,Matrix,Service B,Closed,Medium,Medium,High,Medium,2025-01-01T05:27:23.000000,2025-01-01T11:56:20.000000,2025-01-02T01:37:44.000000,1,Wednesday,0,6.4825,13.69,20.1725,0,2025-01
CR-42,Ransomware attack detected: Encrypted files observed on endpoint.,Network,Michal,Iron Man,Avengers,Service B,Closed,High,High,Low,Medium,2025-01-01T14:57:43.000000,2025-01-01T22:18:35.000000,2025-01-03T04:40:51.000000,1,Wednesday,0,7.347777777777778,30.371111111111112,37.71888888888889,1,2025-01
CR-43,Backup failure: Unable to restore files from recovery system.,Network,Jan,Martin,Matrix,Service C,Closed,Low,Low,Medium,High,2025-01-01T05:31:29.000000,2025-01-01T10:06:04.000000,2025-01-01T20:23:15.000000,1,Wednesday,0,4.576388888888889,10.286388888888888,14.862777777777778,0,2025-01
CR-44,Network scanning tool triggered security alert.,Access,Iron Man,Michal,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-01-01T19:15:07.000000,2025-01-01T23:40:01.000000,2025-01-02T09:24:59.000000,1,Wednesday,0,4.415,9.749444444444444,14.164444444444445,0,2025-01
CR-45,Unauthorized access attempt detected: IP flagged as suspicious.,Failure,Captain America,Thor,Matrix,Service A,New,Low,High,Low,High,2025-01-01T18:02:05.000000,,,0,Wednesday,1,,,,0,2025-01
CR-46,Malware alert: Suspicious executable flagged during scan.,Hardware,Captain America,Michal,Avengers,Service B,Closed,Medium,Medium,High,High,2025-01-01T13:06:10.000000,2025-01-01T20:45:51.000000,2025-01-02T17:19:31.000000,1,Wednesday,0,7.661388888888889,20.56111111111111,28.2225,0,2025-01
CR-47,Suspicious API calls detected: Abnormal volume of requests identified.,Facilities,Thor,Jan,Matrix,Service B,Closed,Medium,High,High,High,2025-01-01T20:33:11.000000,2025-01-02T05:17:46.000000,2025-01-03T00:14:17.000000,1,Wednesday,0,8.743055555555555,18.941944444444445,27.685,1,2025-01
CR-48,Network scanning tool triggered security alert.,Access,Martin,Michal,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-01-01T19:36:10.000000,2025-01-01T21:36:16.000000,2025-01-03T13:27:38.000000,1,Wednesday,0,2.0016666666666665,39.85611111111111,41.85777777777778,1,2025-01
CR-49,Red team simulation detected: Penetration testing execution.,Hardware,Michal,Captain America,Avengers,Service C,Closed,Low,Low,Medium,Low,2025-01-01T18:48:14.000000,2025-01-01T21:40:16.000000,2025-01-02T12:34:42.000000,0,Wednesday,1,2.8672222222222223,14.907222222222222,17.774444444444445,0,2025-01
CR-50,Server reboot required: Kernel update incomplete.,Network,Peter,Peter,Matrix,Service A,Closed,Medium,High,Low,High,2025-01-01T19:40:33.000000,2025-01-01T22:25:22.000000,2025-01-02T04:05:03.000000,1,Wednesday,0,2.7469444444444444,5.661388888888889,8.408333333333333,0,2025-01
CR-51,USB device blocked: Removable media protection active.,Network,Jan,Jan,Avengers,Service B,On Hold,Low,High,Low,High,2025-01-01T11:13:52.000000,,,1,Wednesday,0,,,,0,2025-01
CR-52,SOC analyst triggered investigation for suspicious server activity.,Hardware,Captain America,Jan,Avengers,Service B,On Hold,Medium,Low,Medium,Medium,2025-01-01T11:57:28.000000,,,1,Wednesday,0,,,,0,2025-01
CR-53,ARP spoofing detected: Network traffic rerouted.,Data,Captain America,Jan,Matrix,Service A,Closed,High,High,High,High,2025-01-01T07:50:10.000000,2025-01-01T15:22:17.000000,2025-01-02T09:56:06.000000,1,Wednesday,0,7.535277777777778,18.56361111111111,26.09888888888889,1,2025-01
CR-54,Unscheduled file deletion detected on shared drive.,Complaint,Jan,Captain America,Avengers,Service A,New,High,Medium,Low,Medium,2025-01-01T23:58:47.000000,,,0,Wednesday,1,,,,0,2025-01
CR-55,Data download from personal device flagged for review.,Software,Iron Man,Iron Man,Avengers II,Service A,New,Low,High,High,Medium,2025-01-01T21:28:22.000000,,,0,Wednesday,1,,,,0,2025-01
CR-56,System configuration error: Permissions incorrectly set.,Failure,Captain America,Peter,Avengers,Service A,Closed,Low,Medium,High,High,2025-01-01T20:15:29.000000,2025-01-02T00:46:54.000000,2025-01-03T02:54:35.000000,0,Wednesday,1,4.523611111111111,26.128055555555555,30.651666666666667,1,2025-01
CR-57,Cloud storage accessed by untrusted device.,Facilities,Thor,Jan,Avengers II,Service C,Closed,High,High,High,Low,2025-01-01T18:10:21.000000,2025-01-02T02:29:05.000000,2025-01-02T09:02:32.000000,0,Wednesday,1,8.312222222222223,6.5575,14.869722222222222,0,2025-01
CR-58,Unpatched vulnerability flagged: CVE report mismatch detected.,Access,Martin,Michal,Matrix,Service B,Closed,Medium,Medium,High,Medium,2025-01-01T15:58:31.000000,2025-01-01T19:18:54.000000,2025-01-02T07:47:26.000000,0,Wednesday,1,3.339722222222222,12.475555555555555,15.815277777777778,0,2025-01
CR-59,Database transaction rollback error flagged for audit.,Software,Martin,Michal,Avengers II,Service A,Closed,Low,Low,Medium,Medium,2025-01-01T22:54:56.000000,2025-01-02T02:09:42.000000,2025-01-03T15:44:06.000000,0,Wednesday,1,3.246111111111111,37.57333333333333,40.81944444444444,0,2025-01
CR-60,Malware alert: Suspicious executable flagged during scan.,Hardware,Captain America,Michal,Avengers II,Service B,Closed,High,Medium,High,Low,2025-01-01T09:06:33.000000,2025-01-01T16:28:53.000000,2025-01-03T05:49:46.000000,0,Wednesday,1,7.372222222222222,37.348055555555554,44.72027777777778,1,2025-01
CR-61,Unauthorized user session hijacked on browser.,Complaint,Captain America,Iron Man,Avengers,Service A,Closed,High,Low,High,High,2025-01-01T17:58:22.000000,2025-01-02T02:24:42.000000,2025-01-02T05:05:34.000000,0,Wednesday,1,8.438888888888888,2.681111111111111,11.12,0,2025-01
CR-62,Access request denied: Policy mismatch.,Software,Jan,Michal,Avengers II,Service A,Closed,High,High,Low,Medium,2025-01-01T01:28:47.000000,2025-01-01T05:01:51.000000,2025-01-02T04:15:14.000000,1,Wednesday,0,3.551111111111111,23.223055555555554,26.774166666666666,1,2025-01
CR-63,Failed SSO login: Invalid credentials provided.,Facilities,Iron Man,Iron Man,Avengers II,Service B,Closed,Low,Low,High,Low,2025-01-01T07:39:13.000000,2025-01-01T10:04:21.000000,2025-01-02T23:59:49.000000,0,Wednesday,1,2.418888888888889,37.92444444444445,40.343333333333334,0,2025-01
CR-64,Locked account: Excessive password retry attempts.,Access,Martin,Martin,Matrix,Service A,New,Medium,High,Low,Low,2025-01-01T15:06:08.000000,,,1,Wednesday,0,,,,0,2025-01
CR-65,Login attempt from blacklisted IP address blocked.,Access,Thor,Iron Man,Avengers,Service C,Closed,High,High,High,Medium,2025-01-01T01:45:10.000000,2025-01-01T08:07:14.000000,2025-01-02T00:33:18.000000,0,Wednesday,1,6.3677777777777775,16.434444444444445,22.802222222222223,1,2025-01
CR-66,Failed encryption process: Unable to secure sensitive data.,Complaint,Thor,Peter,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-01-01T22:29:56.000000,2025-01-02T06:29:57.000000,2025-01-03T13:48:32.000000,1,Wednesday,0,8.000277777777777,31.309722222222224,39.31,1,2025-01
CR-67,Data exfiltration alert: High outbound traffic flagged.,Software,Captain America,Jan,Avengers II,Service B,New,Low,High,Medium,High,2025-01-01T11:39:57.000000,,,0,Wednesday,1,,,,0,2025-01
CR-68,SOC analyst triggered investigation for suspicious server activity.,Network,Martin,Jan,Matrix,Service B,Closed,High,Medium,Medium,High,2025-01-01T10:53:34.000000,2025-01-01T19:35:23.000000,2025-01-03T04:41:17.000000,1,Wednesday,0,8.696944444444444,33.098333333333336,41.79527777777778,1,2025-01
CR-69,Unusual system reboot detected on DevOps environment.,Network,Thor,Jan,Avengers II,Service B,Closed,High,Low,Medium,Low,2025-01-01T08:39:32.000000,2025-01-01T13:22:35.000000,2025-01-02T00:34:22.000000,0,Wednesday,1,4.7175,11.196388888888889,15.91388888888889,0,2025-01
CR-70,Breach alert: Privileged credentials exposed.,Access,Peter,Thor,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T22:10:41.000000,2025-01-02T05:50:49.000000,2025-01-02T21:35:39.000000,0,Wednesday,1,7.668888888888889,15.747222222222222,23.41611111111111,0,2025-01
CR-71,Phishing email flagged: User report received for fake login attempt.,Facilities,Jan,Michal,Matrix,Service A,On Hold,High,High,High,Low,2025-01-01T07:01:32.000000,,,0,Wednesday,1,,,,0,2025-01
CR-72,Phishing email flagged: User report received for fake login attempt.,Facilities,Michal,Iron Man,Avengers II,Service A,On Hold,Medium,High,Low,Low,2025-01-01T15:25:22.000000,,,0,Wednesday,1,,,,0,2025-01
CR-73,Breach alert: Privileged credentials exposed.,Failure,Thor,Iron Man,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-01-01T11:42:17.000000,2025-01-01T14:57:24.000000,2025-01-03T01:35:00.000000,0,Wednesday,1,3.2519444444444443,34.626666666666665,37.87861111111111,1,2025-01
CR-74,Failed SSO login: Invalid credentials provided.,Data,Peter,Peter,Avengers II,Service C,New,Low,Medium,Medium,High,2025-01-01T11:15:23.000000,,,0,Wednesday,1,,,,0,2025-01
CR-75,Cloud misconfiguration alert: Public exposure of sensitive data.,Software,Thor,Peter,Avengers II,Service C,Closed,Medium,Medium,High,High,2025-01-01T12:17:54.000000,2025-01-01T15:43:49.000000,2025-01-03T02:58:03.000000,1,Wednesday,0,3.4319444444444445,35.23722222222222,38.66916666666667,1,2025-01
CR-76,Dark web monitoring alert: Credentials detected for sale online.,Software,Captain America,Peter,Avengers II,Service B,Closed,Medium,Low,Medium,Medium,2025-01-01T01:47:33.000000,2025-01-01T10:29:36.000000,2025-01-02T21:37:47.000000,0,Wednesday,1,8.700833333333334,35.13638888888889,43.83722222222222,0,2025-01
CR-77,Malicious macro executed within Office file.,Failure,Martin,Iron Man,Avengers II,Service B,Closed,Low,High,High,Medium,2025-01-01T13:52:15.000000,2025-01-01T20:52:17.000000,2025-01-02T17:52:59.000000,1,Wednesday,0,7.000555555555556,21.011666666666667,28.01222222222222,1,2025-01
CR-78,Performance report: Sluggish response times on application.,Software,Captain America,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,High,2025-01-01T19:01:38.000000,2025-01-02T03:53:04.000000,2025-01-02T22:59:04.000000,1,Wednesday,0,8.857222222222223,19.1,27.95722222222222,0,2025-01
CR-79,Failed security training attempt recorded in training portal.,Failure,Iron Man,Iron Man,Avengers II,Service A,Closed,Low,Medium,High,High,2025-01-01T04:30:27.000000,2025-01-01T08:46:32.000000,2025-01-02T12:06:59.000000,0,Wednesday,1,4.268055555555556,27.340833333333332,31.608888888888888,1,2025-01
CR-80,SOC analyst triggered investigation for suspicious server activity.,Hardware,Iron Man,Martin,Avengers II,Service B,In Progress,Low,Medium,Medium,High,2025-01-01T17:02:24.000000,2025-01-01T20:50:49.000000,,0,Wednesday,1,3.8069444444444445,,,0,2025-01
CR-81,Data exfiltration alert: High outbound traffic flagged.,Network,Captain America,Martin,Matrix,Service A,Closed,Low,Low,High,High,2025-01-01T20:26:54.000000,2025-01-01T23:30:57.000000,2025-01-02T15:05:23.000000,0,Wednesday,1,3.0675,15.573888888888888,18.64138888888889,0,2025-01
CR-82,Unscheduled software change: Application version rolled back.,Data,Martin,Thor,Matrix,Service C,Closed,Medium,High,Low,Low,2025-01-01T08:09:57.000000,2025-01-01T16:17:54.000000,2025-01-03T08:38:04.000000,0,Wednesday,1,8.1325,40.33611111111111,48.46861111111111,1,2025-01
CR-83,Phishing email flagged: User report received for fake login attempt.,Software,Peter,Captain America,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-01-01T19:42:32.000000,2025-01-01T22:59:30.000000,2025-01-03T06:57:55.000000,0,Wednesday,1,3.2827777777777776,31.97361111111111,35.256388888888885,1,2025-01
CR-84,Red team simulation detected: Penetration testing execution.,Complaint,Martin,Jan,Avengers,Service A,Closed,Low,Low,Medium,High,2025-01-01T16:51:40.000000,2025-01-01T21:09:47.000000,2025-01-02T20:33:25.000000,1,Wednesday,0,4.301944444444445,23.39388888888889,27.695833333333333,0,2025-01
CR-85,Data download from personal device flagged for review.,Complaint,Peter,Michal,Avengers II,Service B,Closed,Low,High,Medium,Low,2025-01-01T16:30:41.000000,2025-01-02T00:02:49.000000,2025-01-03T16:01:32.000000,0,Wednesday,1,7.535555555555556,39.978611111111114,47.51416666666667,1,2025-01
CR-86,Network scanning tool triggered security alert.,Facilities,Martin,Peter,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-01-01T12:44:13.000000,2025-01-01T19:03:09.000000,2025-01-01T21:06:24.000000,1,Wednesday,0,6.315555555555555,2.0541666666666667,8.369722222222222,0,2025-01
CR-87,Critical alert: Database server overload detected.,Failure,Peter,Thor,Matrix,Service A,In Progress,High,Medium,High,Medium,2025-01-01T11:20:45.000000,2025-01-01T16:17:40.000000,,0,Wednesday,1,4.948611111111111,,,0,2025-01
CR-88,Web server certificate expired: Issue flagged for priority teams.,Failure,Martin,Thor,Avengers,Service B,New,Low,High,High,Low,2025-01-01T18:23:47.000000,,,1,Wednesday,0,,,,0,2025-01
CR-89,VPN connection failure: Unable to securely tunnel data.,Hardware,Iron Man,Michal,Matrix,Service C,In Progress,Medium,Low,Medium,Medium,2025-01-01T01:02:07.000000,2025-01-01T05:37:18.000000,,1,Wednesday,0,4.586388888888889,,,0,2025-01
CR-90,Database transaction rollback error flagged for audit.,Hardware,Iron Man,Peter,Matrix,Service B,Closed,Medium,Low,Medium,Medium,2025-01-01T09:56:42.000000,2025-01-01T16:08:43.000000,2025-01-01T20:20:39.000000,1,Wednesday,0,6.200277777777778,4.198888888888889,10.399166666666666,0,2025-01
CR-91,Malware alert: Suspicious executable flagged during scan.,Software,Jan,Jan,Avengers,Service B,Closed,High,Low,High,Low,2025-01-01T06:08:07.000000,2025-01-01T08:34:32.000000,2025-01-03T03:21:31.000000,0,Wednesday,1,2.4402777777777778,42.783055555555556,45.223333333333336,0,2025-01
CR-92,Suspicious API calls detected: Abnormal volume of requests identified.,Facilities,Michal,Captain America,Avengers II,Service B,Closed,Low,High,High,Low,2025-01-01T17:13:16.000000,2025-01-01T21:32:53.000000,2025-01-03T13:06:46.000000,1,Wednesday,0,4.326944444444444,39.56472222222222,43.891666666666666,1,2025-01
CR-93,Data breach notification sent to affected users.,Failure,Peter,Iron Man,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-01T07:21:03.000000,2025-01-01T14:29:47.000000,2025-01-03T10:14:39.000000,0,Wednesday,1,7.145555555555555,43.74777777777778,50.89333333333333,1,2025-01
CR-94,Malware detected on endpoint: Quarantine initiated.,Complaint,Thor,Captain America,Avengers II,Service A,Closed,Low,Medium,High,Low,2025-01-01T23:44:49.000000,2025-01-02T07:04:15.000000,2025-01-03T20:44:47.000000,0,Wednesday,1,7.323888888888889,37.675555555555555,44.99944444444444,1,2025-01
CR-95,Failed Workflow - ID: 0000,Hardware,Captain America,Michal,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T04:40:50.000000,2025-01-01T10:17:52.000000,2025-01-02T23:52:03.000000,1,Wednesday,0,5.617222222222222,37.569722222222225,43.18694444444444,1,2025-01
CR-96,Failed security training attempt recorded in training portal.,Data,Iron Man,Thor,Avengers II,Service B,Closed,Medium,Medium,Low,High,2025-01-01T08:13:27.000000,2025-01-01T10:37:43.000000,2025-01-01T12:49:36.000000,1,Wednesday,0,2.4044444444444446,2.1980555555555554,4.6025,0,2025-01
