Number,Type of Payment,Process,System,Volume,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed
INC-2025-00030,Money Rates,Money Rates,SOLEMOS,1,People,The Rock,In Progress,Critical,High,Medium,Wednesday,2025-01-01T22:41:50.000000,2025-01-01T22:53:50.000000,,
INC-2025-00031,International Transfer,International Transfer,Stargate,33,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-01T13:04:19.000000,2025-01-01T14:15:19.000000,2025-01-01T17:16:47.725399,2025-01-01T18:22:47.725399
INC-2025-00032,Domestic Payment,Domestic Payment,STP CAT,3159,DC,Aquaman,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T11:25:38.000000,2025-01-01T12:44:38.000000,2025-01-01T20:58:58.385625,2025-01-01T21:25:58.385625
INC-2025-00033,Domestic Payment,Domestic Payment,STP CAT,13615,People,Mark,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T12:20:39.000000,2025-01-01T13:25:39.000000,2025-01-02T04:30:48.744027,2025-01-02T05:08:48.744027
INC-2025-00034,SEPA Payment,SEPA Payment,Stargate,39991,Avengers,Doctor Strange,Closed,Medium,Medium,Low,Wednesday,2025-01-01T19:13:09.000000,2025-01-01T19:27:09.000000,2025-01-02T09:53:46.044764,2025-01-02T10:25:46.044764
INC-2025-00035,International Transfer,International Transfer,Stargate,42,Avengers,Hulk,Closed,Critical,High,High,Wednesday,2025-01-01T15:11:56.000000,2025-01-01T16:22:56.000000,2025-01-01T19:13:16.714925,2025-01-01T20:05:16.714925
INC-2025-00036,SEPA Payment,SEPA Payment,Stargate,44209,Avengers,Hulk,On Hold,High,High,High,Wednesday,2025-01-01T10:28:59.000000,,,
INC-2025-00037,SEPA Payment,SEPA Payment,STP CAT,71282,Avengers,Iron Man,Closed,Medium,Low,Medium,Wednesday,2025-01-01T14:16:50.000000,2025-01-01T15:23:50.000000,2025-01-02T08:34:40.207012,2025-01-02T09:56:40.207012
INC-2025-00038,Domestic Payment,Domestic Payment,STP CAT,6939,DC,Aquaman,Closed,Medium,Medium,Low,Wednesday,2025-01-01T10:17:15.000000,2025-01-01T11:33:15.000000,2025-01-02T13:50:09.641005,2025-01-02T14:18:09.641005
INC-2025-00039,SEPA Payment,SEPA Payment,STP CAT,14941,DC,Batman,Closed,Medium,Low,Medium,Wednesday,2025-01-01T15:11:10.000000,2025-01-01T16:01:10.000000,2025-01-03T01:53:48.355842,2025-01-03T03:17:48.355842
INC-2025-00040,Basic Payment,Basic Payment,STP CAT,4512,DC,Aquaman,Closed,Low,Low,Low,Wednesday,2025-01-01T14:48:12.000000,2025-01-01T15:42:12.000000,2025-01-04T12:30:33.620173,2025-01-04T12:57:33.620173
INC-2025-00041,Domestic Payment,Domestic Payment,STP CAT,2533,DC,Punisher,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T21:17:11.000000,2025-01-01T21:56:11.000000,2025-01-02T19:16:20.822528,2025-01-02T19:45:20.822528
INC-2025-00042,Proces X,Proces X,SOLEMOS,242,Avengers,Thor,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T08:16:21.000000,2025-01-01T09:03:21.000000,2025-01-02T09:25:51.893065,2025-01-02T09:48:51.893065
INC-2025-00043,International Transfer,International Transfer,Stargate,4,Avengers,Thor,In Progress,Critical,High,High,Wednesday,2025-01-01T22:57:24.000000,2025-01-01T23:46:24.000000,,
INC-2025-00044,SEPA Payment,SEPA Payment,Stargate,39493,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-01T15:43:31.000000,2025-01-01T16:14:31.000000,2025-01-01T18:55:09.813332,2025-01-01T19:10:09.813332
INC-2025-00045,Domestic Payment,Domestic Payment,STP CAT,8331,DC,Aquaman,In Progress,Medium,Medium,Medium,Wednesday,2025-01-01T12:59:43.000000,2025-01-01T13:20:43.000000,,
INC-2025-00046,SEPA Payment,SEPA Payment,Stargate,64186,Avengers,Thor,Closed,High,High,High,Wednesday,2025-01-01T10:19:13.000000,2025-01-01T11:23:13.000000,2025-01-01T15:15:32.208012,2025-01-01T15:47:32.208012
INC-2025-00047,International Transfer,International Transfer,Stargate,15,Avengers,Doctor Strange,On Hold,Critical,High,High,Wednesday,2025-01-01T17:56:37.000000,,,
INC-2025-00048,Domestic Payment,Domestic Payment,STP CAT,10396,DC,Dr. X,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T10:16:29.000000,2025-01-01T10:39:29.000000,2025-01-01T19:17:41.290768,2025-01-01T20:27:41.290768
INC-2025-00049,SEPA Payment,SEPA Payment,Stargate,87458,DC,Punisher,Closed,High,High,Low,Wednesday,2025-01-01T14:18:40.000000,2025-01-01T15:07:40.000000,2025-01-01T23:31:50.744785,2025-01-02T00:55:50.744785
INC-2025-00050,Domestic Payment,Domestic Payment,STP CAT,6597,DC,Batman,Closed,Critical,High,High,Wednesday,2025-01-01T18:07:34.000000,2025-01-01T19:10:34.000000,2025-01-01T22:21:29.164286,2025-01-01T22:37:29.164286
INC-2025-00051,Money Rates,Money Rates,SOLEMOS,9,Avengers,Hulk,Closed,High,Medium,Medium,Wednesday,2025-01-01T09:46:46.000000,2025-01-01T10:52:46.000000,2025-01-01T16:23:35.504618,2025-01-01T16:54:35.504618
INC-2025-00052,Basic Payment,Basic Payment,STP CAT,2841,DC,Aquaman,Closed,Low,Low,Low,Wednesday,2025-01-01T09:54:53.000000,2025-01-01T11:04:53.000000,2025-01-03T11:04:32.412061,2025-01-03T12:18:32.412061
INC-2025-00053,Proces X,Proces X,SOLEMOS,236,People,The Rock,Closed,Medium,Low,Medium,Wednesday,2025-01-01T15:50:12.000000,2025-01-01T16:07:12.000000,2025-01-02T18:56:39.378072,2025-01-02T19:23:39.378072
INC-2025-00054,Domestic Payment,Domestic Payment,STP CAT,15196,People,Scarlett Johansson,In Progress,Medium,Medium,Medium,Wednesday,2025-01-01T15:49:47.000000,2025-01-01T16:14:47.000000,,
INC-2025-00055,Basic Payment,Basic Payment,STP CAT,3644,DC,Batman,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T13:07:11.000000,2025-01-01T14:31:11.000000,2025-01-03T01:50:56.185293,2025-01-03T02:54:56.185293
INC-2025-00056,Basic Payment,Basic Payment,STP CAT,4919,DC,Dr. X,Closed,Low,Low,Low,Wednesday,2025-01-01T08:43:27.000000,2025-01-01T09:38:27.000000,2025-01-03T02:54:36.960613,2025-01-03T03:28:36.960613
INC-2025-00057,SEPA Payment,SEPA Payment,Stargate,57938,People,Dwayne Johnson,Closed,High,Medium,High,Wednesday,2025-01-01T14:50:47.000000,2025-01-01T16:11:47.000000,2025-01-01T23:05:05.809976,2025-01-01T23:33:05.809976
INC-2025-00058,International Transfer,International Transfer,Stargate,8,Avengers,Doctor Strange,Closed,High,High,High,Wednesday,2025-01-01T00:45:39.000000,2025-01-01T02:14:39.000000,2025-01-01T09:39:03.540587,2025-01-01T10:16:03.540587
INC-2025-00059,Proces X,Proces X,SOLEMOS,51,People,Scarlett Johansson,In Progress,Medium,Low,Medium,Wednesday,2025-01-01T15:38:29.000000,2025-01-01T15:55:29.000000,,
INC-2025-00060,International Transfer,International Transfer,Stargate,32,Avengers,Doctor Strange,Closed,Low,Low,Low,Wednesday,2025-01-01T08:32:57.000000,2025-01-01T09:36:57.000000,2025-01-02T15:12:46.678538,2025-01-02T15:32:46.678538
INC-2025-00061,Basic Payment,Basic Payment,STP CAT,1162,People,Jackie Chan,New,Low,Low,Low,Wednesday,2025-01-01T09:19:57.000000,,,
INC-2025-00062,SEPA Payment,SEPA Payment,Stargate,92823,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-01T10:53:31.000000,2025-01-01T12:16:31.000000,2025-01-01T15:42:17.684623,2025-01-01T16:08:17.684623
INC-2025-00063,Domestic Payment,Domestic Payment,STP CAT,4804,DC,Punisher,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T13:00:50.000000,2025-01-01T14:16:50.000000,2025-01-01T21:29:20.670405,2025-01-01T22:57:20.670405
INC-2025-00064,SEPA Payment,SEPA Payment,Stargate,9291,Avengers,Hulk,Closed,Critical,High,High,Wednesday,2025-01-01T13:42:10.000000,2025-01-01T14:51:10.000000,2025-01-01T16:27:06.193130,2025-01-01T17:56:06.193130
INC-2025-00065,Basic Payment,Basic Payment,STP CAT,4731,People,Scarlett Johansson,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T22:26:46.000000,2025-01-01T23:50:46.000000,2025-01-02T09:43:47.975252,2025-01-02T10:03:47.975252
INC-2025-00066,Basic Payment,Basic Payment,STP CAT,573,DC,Aquaman,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T10:28:12.000000,2025-01-01T11:41:12.000000,2025-01-02T21:46:06.847912,2025-01-02T22:18:06.847912
INC-2025-00067,Basic Payment,Basic Payment,STP CAT,1212,People,Jackie Chan,Closed,Critical,Medium,High,Wednesday,2025-01-01T12:39:55.000000,2025-01-01T13:25:55.000000,2025-01-01T14:09:21.714648,2025-01-01T14:45:21.714648
INC-2025-00068,Basic Payment,Basic Payment,STP CAT,2969,DC,Aquaman,Closed,Low,Low,Low,Wednesday,2025-01-01T17:39:58.000000,2025-01-01T18:39:58.000000,2025-01-04T13:47:33.785588,2025-01-04T15:17:33.785588
INC-2025-00069,Proces X,Proces X,SOLEMOS,149,People,The Rock,Closed,High,High,High,Wednesday,2025-01-01T13:17:02.000000,2025-01-01T13:30:02.000000,2025-01-02T05:59:29.545469,2025-01-02T07:24:29.545469
INC-2025-00070,Basic Payment,Basic Payment,STP CAT,2945,People,Mark,Closed,Medium,Medium,Low,Wednesday,2025-01-01T09:48:53.000000,2025-01-01T11:07:53.000000,2025-01-02T01:05:43.058180,2025-01-02T01:27:43.058180
INC-2025-00071,SEPA Payment,SEPA Payment,Stargate,82491,Avengers,Iron Man,Closed,High,High,High,Wednesday,2025-01-01T14:43:27.000000,2025-01-01T15:16:27.000000,2025-01-02T04:06:29.257196,2025-01-02T04:54:29.257196
INC-2025-00072,Basic Payment,Basic Payment,STP CAT,3496,People,Jackie Chan,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T11:07:17.000000,2025-01-01T11:44:17.000000,2025-01-01T18:12:16.873105,2025-01-01T18:52:16.873105
INC-2025-00073,Domestic Payment,Domestic Payment,STP CAT,16269,People,Mark,Closed,Medium,Medium,Low,Wednesday,2025-01-01T10:51:37.000000,2025-01-01T12:16:37.000000,2025-01-02T00:57:14.608686,2025-01-02T02:07:14.608686
INC-2025-00074,Domestic Payment,Domestic Payment,STP CAT,8562,DC,Punisher,Closed,Low,Low,Low,Wednesday,2025-01-01T15:47:53.000000,2025-01-01T16:52:53.000000,2025-01-05T15:27:55.873299,2025-01-05T16:34:55.873299
INC-2025-00075,Proces X,Proces X,SOLEMOS,10,DC,Batman,Closed,Medium,Medium,Low,Wednesday,2025-01-01T06:12:58.000000,2025-01-01T07:04:58.000000,2025-01-02T08:52:46.759966,2025-01-02T10:15:46.759966
INC-2025-00076,Basic Payment,Basic Payment,STP CAT,840,DC,Aquaman,Closed,Critical,High,High,Wednesday,2025-01-01T17:35:08.000000,2025-01-01T18:27:08.000000,2025-01-01T20:30:34.971451,2025-01-01T21:00:34.971451
INC-2025-00077,Money Rates,Money Rates,SOLEMOS,3,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-01T14:49:26.000000,2025-01-01T15:11:26.000000,2025-01-01T17:26:40.921453,2025-01-01T17:58:40.921453
INC-2025-00078,Domestic Payment,Domestic Payment,STP CAT,14564,DC,Aquaman,Closed,High,High,High,Wednesday,2025-01-01T10:23:44.000000,2025-01-01T11:37:44.000000,2025-01-01T14:27:56.978711,2025-01-01T14:49:56.978711
INC-2025-00079,Basic Payment,Basic Payment,STP CAT,3096,People,Kevin Hart,Closed,Medium,Low,Medium,Wednesday,2025-01-01T10:25:01.000000,2025-01-01T11:20:01.000000,2025-01-02T09:39:36.574767,2025-01-02T10:11:36.574767
INC-2025-00080,Domestic Payment,Domestic Payment,STP CAT,344,DC,Punisher,Closed,Medium,Low,Medium,Wednesday,2025-01-01T11:40:34.000000,2025-01-01T12:23:34.000000,2025-01-02T04:35:42.632662,2025-01-02T05:47:42.632662
INC-2025-00081,SEPA Payment,SEPA Payment,Stargate,44747,DC,Punisher,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T23:46:07.000000,2025-01-02T00:19:07.000000,2025-01-02T08:56:45.422247,2025-01-02T09:21:45.422247
INC-2025-00082,Basic Payment,Basic Payment,STP CAT,116,People,Kevin Hart,Closed,Low,Low,Low,Wednesday,2025-01-01T16:22:02.000000,2025-01-01T16:39:02.000000,2025-01-03T00:11:43.961156,2025-01-03T00:39:43.961156
INC-2025-00083,Basic Payment,Basic Payment,STP CAT,4052,People,Kevin Hart,In Progress,Medium,Medium,Low,Wednesday,2025-01-01T12:41:30.000000,2025-01-01T13:25:30.000000,,
INC-2025-00084,Proces X,Proces X,SOLEMOS,71,People,The Rock,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T13:58:16.000000,2025-01-01T14:37:16.000000,2025-01-02T06:15:24.297663,2025-01-02T07:09:24.297663
INC-2025-00085,Proces X,Proces X,SOLEMOS,23,DC,Dr. X,New,Medium,Medium,Low,Wednesday,2025-01-01T20:17:52.000000,,,
INC-2025-00086,Basic Payment,Basic Payment,STP CAT,3454,DC,Punisher,Closed,Medium,Medium,Low,Wednesday,2025-01-01T15:13:57.000000,2025-01-01T16:19:57.000000,2025-01-02T02:00:01.184811,2025-01-02T02:49:01.184811
INC-2025-00087,SEPA Payment,SEPA Payment,STP CAT,29416,DC,Batman,Closed,Medium,Low,Medium,Wednesday,2025-01-01T12:47:09.000000,2025-01-01T13:08:09.000000,2025-01-02T19:21:28.264836,2025-01-02T20:11:28.264836
INC-2025-00088,Basic Payment,Basic Payment,STP CAT,2967,DC,Batman,Closed,Low,Low,Low,Wednesday,2025-01-01T15:51:44.000000,2025-01-01T16:49:44.000000,2025-01-03T20:40:58.855620,2025-01-03T21:20:58.855620
INC-2025-00089,Domestic Payment,Domestic Payment,STP CAT,7779,People,Dwayne Johnson,Closed,Low,Low,Low,Wednesday,2025-01-01T10:52:44.000000,2025-01-01T11:10:44.000000,2025-01-03T02:49:17.660493,2025-01-03T03:30:17.660493
INC-2025-00090,Money Rates,Money Rates,SOLEMOS,5,Avengers,Hulk,Closed,Critical,High,Medium,Wednesday,2025-01-01T18:55:38.000000,2025-01-01T20:06:38.000000,2025-01-01T21:13:49.269213,2025-01-01T21:48:49.269213
INC-2025-00091,Money Rates,Money Rates,SOLEMOS,3,Avengers,Hulk,Closed,High,High,High,Wednesday,2025-01-01T01:44:30.000000,2025-01-01T02:26:30.000000,2025-01-01T17:40:57.950804,2025-01-01T18:33:57.950804
INC-2025-00092,Domestic Payment,Domestic Payment,STP CAT,18165,DC,Punisher,Closed,Medium,Low,Medium,Wednesday,2025-01-01T03:06:52.000000,2025-01-01T04:27:52.000000,2025-01-01T20:18:19.868498,2025-01-01T21:23:19.868498
INC-2025-00093,International Transfer,International Transfer,Stargate,3,Avengers,Doctor Strange,Closed,High,High,High,Wednesday,2025-01-01T06:52:59.000000,2025-01-01T08:09:59.000000,2025-01-01T14:33:27.542922,2025-01-01T15:03:27.542922
INC-2025-00094,SEPA Payment,SEPA Payment,Stargate,17206,Avengers,Iron Man,Closed,High,High,Medium,Wednesday,2025-01-01T15:02:05.000000,2025-01-01T16:00:05.000000,2025-01-01T20:24:22.423308,2025-01-01T21:22:22.423308
INC-2025-00095,International Transfer,International Transfer,Stargate,36,Avengers,Doctor Strange,New,High,High,High,Wednesday,2025-01-01T09:29:28.000000,,,
INC-2025-00096,International Transfer,International Transfer,Stargate,4,Avengers,Hulk,Closed,Low,Low,Low,Wednesday,2025-01-01T17:28:48.000000,2025-01-01T17:51:48.000000,2025-01-03T22:38:18.376549,2025-01-03T23:23:18.376549
INC-2025-00097,Proces X,Proces X,SOLEMOS,159,People,Scarlett Johansson,Closed,Medium,Low,Medium,Wednesday,2025-01-01T12:59:17.000000,2025-01-01T13:42:17.000000,2025-01-03T00:18:50.506349,2025-01-03T00:40:50.506349
INC-2025-00098,Proces X,Proces X,STP CAT,51,People,The Rock,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T16:29:49.000000,2025-01-01T17:37:49.000000,2025-01-03T03:45:46.202199,2025-01-03T04:49:46.202199
INC-2025-00099,Basic Payment,Basic Payment,STP CAT,4109,DC,Batman,In Progress,Medium,Medium,Medium,Wednesday,2025-01-01T10:34:35.000000,2025-01-01T11:01:35.000000,,
INC-2025-00100,SEPA Payment,SEPA Payment,Stargate,71079,Avengers,Hulk,Closed,High,High,High,Wednesday,2025-01-01T10:22:49.000000,2025-01-01T11:37:49.000000,2025-01-01T21:37:31.723240,2025-01-01T22:28:31.723240
INC-2025-00101,International Transfer,International Transfer,Stargate,34,Avengers,Thor,Closed,High,Medium,High,Wednesday,2025-01-01T11:56:23.000000,2025-01-01T12:34:23.000000,2025-01-01T14:58:48.012405,2025-01-01T15:35:48.012405
INC-2025-00102,Domestic Payment,Domestic Payment,STP CAT,14092,DC,Punisher,Closed,High,Medium,High,Wednesday,2025-01-01T12:28:19.000000,2025-01-01T12:55:19.000000,2025-01-02T01:56:20.870649,2025-01-02T03:02:20.870649
INC-2025-00103,Money Rates,Money Rates,SOLEMOS,2,Avengers,Doctor Strange,Closed,Critical,Medium,High,Wednesday,2025-01-01T03:06:15.000000,2025-01-01T04:17:15.000000,2025-01-01T05:11:36.232708,2025-01-01T05:44:36.232708
INC-2025-00104,Basic Payment,Basic Payment,STP CAT,882,DC,Dr. X,Closed,High,Medium,Medium,Wednesday,2025-01-01T17:28:55.000000,2025-01-01T18:26:55.000000,2025-01-02T03:11:22.139964,2025-01-02T03:31:22.139964
INC-2025-00105,Domestic Payment,Domestic Payment,STP CAT,18589,DC,Aquaman,In Progress,Low,Low,Low,Wednesday,2025-01-01T03:28:09.000000,2025-01-01T03:51:09.000000,,
INC-2025-00106,Domestic Payment,Domestic Payment,STP CAT,3760,DC,Dr. X,Closed,Medium,Medium,Low,Wednesday,2025-01-01T13:06:26.000000,2025-01-01T13:57:26.000000,2025-01-02T18:28:25.813751,2025-01-02T19:58:25.813751
INC-2025-00107,Domestic Payment,Domestic Payment,STP CAT,1390,DC,Aquaman,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T17:56:30.000000,2025-01-01T18:49:30.000000,2025-01-02T12:48:05.690209,2025-01-02T13:13:05.690209
INC-2025-00108,Basic Payment,Basic Payment,STP CAT,1962,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T07:04:26.000000,2025-01-01T07:43:26.000000,2025-01-02T05:44:03.999936,2025-01-02T06:48:03.999936
INC-2025-00109,Proces X,Proces X,SOLEMOS,127,Avengers,Iron Man,Closed,Critical,High,High,Wednesday,2025-01-01T08:41:34.000000,2025-01-01T09:39:34.000000,2025-01-01T11:26:53.193342,2025-01-01T12:38:53.193342
INC-2025-00110,SEPA Payment,SEPA Payment,STP CAT,71348,Avengers,Thor,Closed,Low,Low,Low,Wednesday,2025-01-01T14:26:52.000000,2025-01-01T14:55:52.000000,2025-01-04T13:08:38.178623,2025-01-04T13:53:38.178623
INC-2025-00111,Basic Payment,Basic Payment,STP CAT,884,DC,Dr. X,Closed,Low,Low,Low,Wednesday,2025-01-01T13:52:12.000000,2025-01-01T14:06:12.000000,2025-01-03T11:34:38.185487,2025-01-03T11:56:38.185487
INC-2025-00112,Proces X,Proces X,SOLEMOS,231,People,The Rock,Closed,High,High,High,Wednesday,2025-01-01T21:36:18.000000,2025-01-01T22:38:18.000000,2025-01-02T11:33:36.750184,2025-01-02T12:14:36.750184
INC-2025-00113,Money Rates,Money Rates,SOLEMOS,5,Avengers,Doctor Strange,Closed,Critical,High,High,Wednesday,2025-01-01T17:37:26.000000,2025-01-01T18:24:26.000000,2025-01-01T20:24:45.795241,2025-01-01T21:13:45.795241
INC-2025-00114,Proces X,Proces X,SOLEMOS,69,People,Jackie Chan,Closed,High,High,High,Wednesday,2025-01-01T10:28:03.000000,2025-01-01T11:30:03.000000,2025-01-01T16:40:03.374823,2025-01-01T17:01:03.374823
INC-2025-00115,SEPA Payment,SEPA Payment,Stargate,71100,Avengers,Doctor Strange,Closed,Critical,Medium,High,Wednesday,2025-01-01T17:31:53.000000,2025-01-01T18:15:53.000000,2025-01-01T19:21:10.946232,2025-01-01T19:49:10.946232
INC-2025-00116,International Transfer,International Transfer,Stargate,15,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-01T09:50:56.000000,2025-01-01T11:11:56.000000,2025-01-01T15:04:03.674337,2025-01-01T15:21:03.674337
