Number,Short Description,Process,System,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed,Processing Time (hrs),Response Time (hrs),Total Time (hrs)
ERR-2025-00031,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,High,Monday,2025-01-06T09:21:00.000000,2025-01-06T09:45:00.000000,2025-01-06T12:28:57.832012,2025-01-06T13:58:57.832012,2.7325,0.4,4.6325
ERR-2025-00032,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,Stargate,Avengers,Iron Man,Closed,Medium,Low,Low,Friday,2025-01-17T08:09:06.000000,2025-01-17T09:06:06.000000,2025-01-17T21:36:13.272022,2025-01-17T23:01:13.272022,12.501944444444444,0.95,14.868611111111111
ERR-2025-00033,FX hedge rate misapplied to wrong transaction batch,Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,High,Tuesday,2025-01-07T13:44:13.000000,2025-01-07T14:08:13.000000,2025-01-07T16:53:19.111526,2025-01-07T17:15:19.111526,2.7516666666666665,0.4,3.5183333333333335
ERR-2025-00034,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,Stargate,Avengers,Thor,Closed,Medium,Low,Medium,Thursday,2025-01-09T15:46:38.000000,2025-01-09T16:49:38.000000,2025-01-10T13:29:14.854450,2025-01-10T14:29:14.854450,20.66,1.05,22.71
ERR-2025-00035,Incorrect account number used - funds credited to wrong customer,Domestic Payment,STP CAT,Avengers,Iron Man,Closed,Low,Low,Low,Friday,2025-01-31T03:29:20.000000,2025-01-31T04:30:20.000000,2025-02-01T05:07:13.767974,2025-02-01T06:34:13.767974,24.614722222222223,1.0166666666666666,27.08138888888889
ERR-2025-00036,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Thor,In Progress,Medium,Medium,Medium,Monday,2025-01-20T14:26:59.000000,2025-01-20T15:14:59.000000,,,,0.8,
ERR-2025-00037,SEPA payment sent to closed account - return not processed timely,SEPA Payment,STP CAT,Avengers,Iron Man,Closed,Medium,Medium,Medium,Thursday,2025-01-16T14:50:40.000000,2025-01-16T15:19:40.000000,2025-01-17T07:32:45.801016,2025-01-17T07:47:45.801016,16.218055555555555,0.48333333333333334,16.95138888888889
ERR-2025-00038,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Iron Man,Closed,Medium,Medium,Medium,Tuesday,2025-01-14T19:40:19.000000,2025-01-14T20:15:19.000000,2025-01-15T19:01:25.736820,2025-01-15T20:00:25.736820,22.768333333333334,0.5833333333333334,24.335
ERR-2025-00039,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Hulk,Closed,Critical,Medium,High,Monday,2025-01-27T13:31:12.000000,2025-01-27T14:36:12.000000,2025-01-27T16:20:48.209994,2025-01-27T16:44:48.209994,1.7433333333333334,1.0833333333333333,3.2266666666666666
ERR-2025-00040,Rate tolerance breach not escalated to treasury desk,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,Medium,Low,Medium,Thursday,2025-01-02T19:22:49.000000,2025-01-02T20:18:49.000000,2025-01-03T06:52:14.493116,2025-01-03T07:32:14.493116,10.556944444444444,0.9333333333333333,12.156944444444445
ERR-2025-00041,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Iron Man,New,Medium,Medium,Medium,Sunday,2025-01-26T23:16:44.000000,,,,,,
ERR-2025-00042,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Wednesday,2025-01-22T08:16:24.000000,2025-01-22T09:37:24.000000,2025-01-22T13:09:43.017557,2025-01-22T14:05:43.017557,3.538611111111111,1.35,5.821944444444444
ERR-2025-00043,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Low,Low,Low,Sunday,2025-01-19T13:55:56.000000,2025-01-19T14:39:56.000000,2025-01-21T11:02:55.465028,2025-01-21T11:59:55.465028,44.38305555555556,0.7333333333333333,46.06638888888889
ERR-2025-00044,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,STP CAT,Avengers,Thor,Closed,Critical,High,Medium,Monday,2025-01-13T12:29:41.000000,2025-01-13T13:08:41.000000,2025-01-13T15:07:43.258074,2025-01-13T16:29:43.258074,1.9838888888888888,0.65,4.000555555555556
ERR-2025-00045,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Wednesday,2025-01-01T13:57:47.000000,2025-01-01T15:03:47.000000,2025-01-01T20:00:52.459223,2025-01-01T20:45:52.459223,4.951388888888889,1.1,6.801388888888889
ERR-2025-00046,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,High,Thursday,2025-01-23T16:45:18.000000,2025-01-23T17:13:18.000000,2025-01-23T21:09:45.783094,2025-01-23T21:46:45.783094,3.9408333333333334,0.4666666666666667,5.024166666666667
ERR-2025-00047,Edit Queue item approved without verifying beneficiary details,Edit Q,STP CAT,Avengers,Hulk,Closed,Low,Low,Low,Wednesday,2025-01-22T14:42:41.000000,2025-01-22T16:04:41.000000,2025-01-23T20:46:36.154939,2025-01-23T21:03:36.154939,28.698611111111113,1.3666666666666667,30.34861111111111
ERR-2025-00048,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Iron Man,Closed,Critical,High,High,Wednesday,2025-01-29T14:19:33.000000,2025-01-29T15:47:33.000000,2025-01-29T18:35:04.236279,2025-01-29T19:56:04.236279,2.7919444444444443,1.4666666666666666,5.608611111111111
ERR-2025-00049,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Monday,2025-01-20T17:29:11.000000,2025-01-20T18:03:11.000000,2025-01-21T01:03:14.299471,2025-01-21T01:37:14.299471,7.0008333333333335,0.5666666666666667,8.134166666666667
ERR-2025-00050,Rate effective date set incorrectly - wrong rate applied to batch,Rates,SOLEMOS,Avengers,Iron Man,Closed,Critical,High,High,Wednesday,2025-01-22T17:31:44.000000,2025-01-22T18:14:44.000000,2025-01-22T19:16:31.686556,2025-01-22T19:40:31.686556,1.0297222222222222,0.7166666666666667,2.1463888888888887
ERR-2025-00051,SEPA recall issued too late - funds already credited and withdrawn,SEPA Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Wednesday,2025-01-22T09:41:49.000000,2025-01-22T10:15:49.000000,2025-01-22T15:32:29.013134,2025-01-22T16:00:29.013134,5.277777777777778,0.5666666666666667,6.311111111111111
ERR-2025-00052,Payment not reversed after customer dispute was resolved,Basic Payment,STP CAT,Avengers,Doctor Strange,Closed,Low,Low,Low,Wednesday,2025-01-15T08:20:58.000000,2025-01-15T08:47:58.000000,2025-01-17T03:40:50.778115,2025-01-17T04:19:50.778115,42.88111111111111,0.45,43.98111111111111
ERR-2025-00053,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Tuesday,2025-01-07T13:05:30.000000,2025-01-07T14:09:30.000000,2025-01-07T15:24:10.194020,2025-01-07T16:52:10.194020,1.2444444444444445,1.0666666666666667,3.7777777777777777
ERR-2025-00054,FX hedge rate misapplied to wrong transaction batch,Rates,SOLEMOS,Avengers,Hulk,Closed,High,High,Medium,Thursday,2025-01-02T17:08:02.000000,2025-01-02T18:28:02.000000,2025-01-02T22:38:02.438387,2025-01-02T23:02:02.438387,4.166666666666667,1.3333333333333333,5.9
ERR-2025-00055,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Hulk,Closed,Critical,High,High,Thursday,2025-01-23T11:43:47.000000,2025-01-23T12:47:47.000000,2025-01-23T15:02:55.853692,2025-01-23T16:30:55.853692,2.252222222222222,1.0666666666666667,4.785555555555556
ERR-2025-00056,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Thor,On Hold,Low,Low,Low,Wednesday,2025-01-15T10:32:06.000000,,,,,,
ERR-2025-00057,Domestic transfer sent to dormant account - return not monitored,Domestic Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Monday,2025-01-06T22:37:30.000000,2025-01-06T23:00:30.000000,2025-01-07T01:51:01.936762,2025-01-07T02:12:01.936762,2.8419444444444446,0.38333333333333336,3.575277777777778
ERR-2025-00058,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Critical,Medium,Medium,Friday,2025-01-31T07:55:05.000000,2025-01-31T09:23:05.000000,2025-01-31T10:08:16.976460,2025-01-31T10:52:16.976460,0.7530555555555556,1.4666666666666666,2.9530555555555558
ERR-2025-00059,Wrong IBAN updated during manual correction in Edit Queue,Edit Q,STP CAT,Avengers,Iron Man,Closed,Medium,Low,Low,Tuesday,2025-01-28T08:08:56.000000,2025-01-28T08:41:56.000000,2025-01-29T04:41:00.444068,2025-01-29T06:02:00.444068,19.984444444444446,0.55,21.884444444444444
ERR-2025-00060,SEPA file submitted with incorrect execution date,SEPA Payment,Stargate,Avengers,Hulk,Closed,High,Medium,High,Friday,2025-01-24T15:17:25.000000,2025-01-24T16:14:25.000000,2025-01-24T18:39:04.458102,2025-01-24T19:09:04.458102,2.410833333333333,0.95,3.8608333333333333
ERR-2025-00061,Incorrect amount entered - overpayment of 10x original value,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Sunday,2025-01-26T13:41:25.000000,2025-01-26T15:00:25.000000,2025-01-26T18:01:25.513595,2025-01-26T18:25:25.513595,3.0166666666666666,1.3166666666666667,4.733333333333333
ERR-2025-00062,Edit Q item duplicated after system timeout during save,Edit Q,SOLEMOS,Avengers,Hulk,Closed,Medium,Low,Medium,Tuesday,2025-01-07T22:49:26.000000,2025-01-08T00:13:26.000000,2025-01-08T19:38:48.753327,2025-01-08T20:36:48.753327,19.422777777777778,1.4,21.789444444444445
ERR-2025-00063,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Thursday,2025-01-23T17:15:36.000000,2025-01-23T18:05:36.000000,2025-01-23T21:30:39.121410,2025-01-23T22:15:39.121410,3.4175,0.8333333333333334,5.0008333333333335
ERR-2025-00064,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Medium,Friday,2025-01-31T08:57:40.000000,2025-01-31T09:52:40.000000,2025-02-01T06:36:31.101165,2025-02-01T07:14:31.101165,20.730833333333333,0.9166666666666666,22.280833333333334
ERR-2025-00065,Incorrect amount entered - overpayment of 10x original value,International Transfer,Stargate,Avengers,Thor,Closed,Critical,High,Medium,Sunday,2025-01-26T23:18:40.000000,2025-01-26T23:35:40.000000,2025-01-27T01:16:10.197736,2025-01-27T02:21:10.197736,1.675,0.2833333333333333,3.0416666666666665
ERR-2025-00066,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Tuesday,2025-01-07T06:32:06.000000,2025-01-07T07:45:06.000000,2025-01-07T10:22:14.311626,2025-01-07T11:40:14.311626,2.618888888888889,1.2166666666666666,5.135555555555555
ERR-2025-00067,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,Medium,Sunday,2025-01-05T16:29:34.000000,2025-01-05T16:50:34.000000,2025-01-05T21:41:39.262466,2025-01-05T22:46:39.262466,4.851388888888889,0.35,6.284722222222222
ERR-2025-00068,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,Stargate,Avengers,Hulk,Closed,High,High,High,Friday,2025-01-31T04:36:20.000000,2025-01-31T05:24:20.000000,2025-01-31T10:50:15.614489,2025-01-31T11:57:15.614489,5.4319444444444445,0.8,7.348611111111111
ERR-2025-00069,Payment released from Edit Q to wrong processing queue,Edit Q,SOLEMOS,Avengers,Hulk,Closed,High,High,High,Wednesday,2025-01-01T15:25:52.000000,2025-01-01T15:46:52.000000,2025-01-01T18:23:31.575681,2025-01-01T19:27:31.575681,2.6108333333333333,0.35,4.0275
ERR-2025-00070,SEPA recall issued too late - funds already credited and withdrawn,SEPA Payment,STP CAT,Avengers,Hulk,Closed,High,High,High,Thursday,2025-01-09T14:29:37.000000,2025-01-09T15:15:37.000000,2025-01-09T18:40:19.384118,2025-01-09T19:05:19.384118,3.4116666666666666,0.7666666666666667,4.595
ERR-2025-00071,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Doctor Strange,In Progress,Medium,Medium,Low,Friday,2025-01-17T07:55:19.000000,2025-01-17T08:18:19.000000,,,,0.38333333333333336,
ERR-2025-00072,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,High,Thursday,2025-01-30T17:08:25.000000,2025-01-30T17:40:25.000000,2025-01-30T20:08:44.705962,2025-01-30T21:24:44.705962,2.4719444444444445,0.5333333333333333,4.271944444444444
ERR-2025-00073,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Doctor Strange,In Progress,Critical,High,High,Thursday,2025-01-30T09:39:52.000000,2025-01-30T09:55:52.000000,,,,0.26666666666666666,
ERR-2025-00074,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Friday,2025-01-10T19:35:43.000000,2025-01-10T20:12:43.000000,2025-01-11T00:16:00.738923,2025-01-11T01:27:00.738923,4.054722222222222,0.6166666666666667,5.854722222222223
ERR-2025-00075,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Critical,Medium,High,Sunday,2025-01-05T13:51:52.000000,2025-01-05T14:01:52.000000,2025-01-05T15:11:02.405868,2025-01-05T15:31:02.405868,1.1527777777777777,0.16666666666666666,1.6527777777777777
ERR-2025-00076,Manual rate entry typo caused overcharge to client,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Tuesday,2025-01-14T22:06:44.000000,2025-01-14T23:05:44.000000,2025-01-15T15:35:31.134750,2025-01-15T16:38:31.134750,16.496388888888887,0.9833333333333333,18.529722222222222
ERR-2025-00077,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Monday,2025-01-20T22:04:17.000000,2025-01-20T22:18:17.000000,2025-01-21T02:11:21.089115,2025-01-21T02:45:21.089115,3.8844444444444446,0.23333333333333334,4.684444444444445
ERR-2025-00078,Cross-rate calculation error not caught before payment dispatch,Rates,SOLEMOS,Avengers,Hulk,Closed,High,High,Low,Wednesday,2025-01-15T13:45:41.000000,2025-01-15T15:00:41.000000,2025-01-15T17:27:48.581979,2025-01-15T17:51:48.581979,2.4519444444444445,1.25,4.101944444444444
ERR-2025-00079,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,Medium,Thursday,2025-01-02T21:49:28.000000,2025-01-02T22:29:28.000000,2025-01-02T23:35:48.925328,2025-01-03T00:15:48.925328,1.1055555555555556,0.6666666666666666,2.438888888888889
ERR-2025-00080,Manual rate entry typo caused overcharge to client,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,Medium,Monday,2025-01-27T17:28:37.000000,2025-01-27T18:50:37.000000,2025-01-27T23:51:47.516556,2025-01-28T00:41:47.516556,5.019444444444445,1.3666666666666667,7.219444444444444
ERR-2025-00081,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Tuesday,2025-01-21T16:57:10.000000,2025-01-21T17:21:10.000000,2025-01-21T20:05:12.587837,2025-01-21T20:23:12.587837,2.733888888888889,0.4,3.4338888888888888
ERR-2025-00082,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,In Progress,High,High,Medium,Monday,2025-01-06T14:27:10.000000,2025-01-06T15:10:10.000000,,,,0.7166666666666667,
ERR-2025-00083,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Friday,2025-01-03T16:22:47.000000,2025-01-03T16:47:47.000000,2025-01-03T20:45:31.034943,2025-01-03T21:52:31.034943,3.962222222222222,0.4166666666666667,5.495555555555556
ERR-2025-00084,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Thor,Closed,High,Medium,High,Monday,2025-01-13T17:06:40.000000,2025-01-13T17:48:40.000000,2025-01-13T23:19:16.234941,2025-01-14T00:31:16.234941,5.51,0.7,7.41
ERR-2025-00085,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Medium,Wednesday,2025-01-29T18:36:34.000000,2025-01-29T19:12:34.000000,2025-01-29T23:00:02.449456,2025-01-30T00:11:02.449456,3.7911111111111113,0.6,5.5744444444444445
ERR-2025-00086,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Iron Man,Closed,Critical,High,High,Thursday,2025-01-09T12:01:26.000000,2025-01-09T12:13:26.000000,2025-01-09T13:38:19.572524,2025-01-09T14:05:19.572524,1.4147222222222222,0.2,2.064722222222222
ERR-2025-00087,Incorrect rate override entered manually by operator,Rates,SOLEMOS,Avengers,Doctor Strange,Closed,Critical,High,High,Wednesday,2025-01-15T18:50:22.000000,2025-01-15T20:19:22.000000,2025-01-15T21:27:43.190306,2025-01-15T22:53:43.190306,1.1391666666666667,1.4833333333333334,4.055833333333333
ERR-2025-00088,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,Stargate,Avengers,Thor,Closed,High,Medium,High,Thursday,2025-01-09T12:30:26.000000,2025-01-09T13:17:26.000000,2025-01-09T18:33:37.732063,2025-01-09T19:29:37.732063,5.269722222222223,0.7833333333333333,6.9863888888888885
ERR-2025-00089,Payment applied to wrong customer account after name match failure,Basic Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Low,Monday,2025-01-13T11:16:16.000000,2025-01-13T12:20:16.000000,2025-01-14T10:13:16.324542,2025-01-14T10:40:16.324542,21.883333333333333,1.0666666666666667,23.4
ERR-2025-00090,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Doctor Strange,On Hold,High,High,Medium,Friday,2025-01-03T16:15:25.000000,,,,,,
